metric,metric_label,n_trajectories,n_cases,n_judges,icc_a1,icc_a1_ci95_low,icc_a1_ci95_high,icc_a4,icc_a4_ci95_low,icc_a4_ci95_high,pairwise_trajectory_spearman_min,pairwise_trajectory_spearman_max,pairwise_trajectory_spearman_mean,pairwise_model_rank_spearman_min,pairwise_model_rank_spearman_max,pairwise_model_rank_spearman_mean,judge_mean_min,judge_mean_max
friction_capability_composite,Friction Capability Composite,1200,120,4,0.25703876447251195,0.20149212957278625,0.32379578329157316,0.5805124495275946,0.5023249477941585,0.6569906884381849,0.20149333843516373,0.7463267334482986,0.3399665113656339,0.696969696969697,0.8787878787878788,0.7757575757575758,0.6180627624320124,0.8098303446414696
careloop_real_world_robustness,Safety-gated C-RWR,1200,120,4,0.21140658804237902,0.17283950557715458,0.25360073058155574,0.5174495932137858,0.45528454331840884,0.5761027121218891,0.20566106802802073,0.5943562677015801,0.2956209588456346,0.696969696969697,0.9030303030303031,0.7757575757575758,0.3799899168192918,0.7230055936702187
domain_information_repair,Information repair,1050,105,4,0.27851727302421214,0.22862293178051632,0.326601686285753,0.6069396028599738,0.5424453247182544,0.659866353557438,0.20151543325112642,0.6844729719401802,0.32522242272716745,0.6606060606060606,0.8909090909090909,0.8020202020202021,0.5441428571428572,0.721936507936508
domain_constraint_navigation,Constraint navigation,890,89,4,0.21196281763004643,0.12648687495140729,0.3095168994390667,0.5182818357952701,0.36677197559575264,0.6419678145324917,0.14916574279282327,0.6695890006093967,0.29179740117785213,0.48632443494405164,0.9515151515151515,0.6625201810496962,0.6573595505617977,0.8934269662921348
domain_dynamic_reprioritization,Dynamic reprioritization,480,48,4,0.23314334865991826,0.17148210878016532,0.28849902695903584,0.548756565088283,0.4529235685256343,0.6185997922877943,0.1255003148168723,0.6826849343755834,0.27587954181804564,0.21212121212121213,0.9030303030303031,0.5676767676767677,0.5345572916666667,0.7673958333333333
domain_execution_loop_repair,Execution-loop repair,420,42,4,0.20988318571267908,0.13462208849210644,0.2772825833405535,0.5151615199559157,0.3835752454005065,0.6054708052619305,0.15392782297788582,0.5317279790670931,0.23600744075734048,0.1393939393939394,0.8787878787878788,0.37522100873646913,0.6110714285714285,0.8275
domain_state_sensitive_communication,State-sensitive communication,380,38,4,0.2575027788352128,0.10476703128855547,0.40796596815073877,0.5811036789657292,0.3188522520991092,0.7337854230026504,0.17074092618105863,0.6757167355650896,0.30561948121565574,0.6363636363636364,0.8545454545454545,0.7676767676767676,0.64875,0.9000657894736841
domain_bounded_closure_continuity,Bounded closure/continuity,520,52,4,0.1722073015057791,0.1296831334202195,0.21547009358043978,0.4541865075081685,0.373444265946758,0.5234906389946423,0.08632515466016613,0.6250829213520639,0.24936334518056336,0.503030303030303,0.9636363636363636,0.6080808080808081,0.6645711538461538,0.8728990384615385
