metric,median_spearman,ci_low,ci_high,top1_agreement,resamples
FCC,0.9151515151515152,0.7939393939393938,0.9757575757575757,0.9924,5000
C-RWR,0.9272727272727272,0.8181818181818182,0.9878787878787878,1.0,5000
