packet_id,case_id,doctor_model,terminal_status,turns_completed,workspace_turn_count,primary_friction,friction_intensity,friction_capability_composite_median4,careloop_real_world_robustness_median4,fcc_minus_crwr,clinical_error_gate_median4,fcc_judge_sd,fcc_judge_range,crwr_judge_sd,crwr_judge_range,ordinal_grade_median4,domain_information_repair_median4,domain_constraint_navigation_median4,domain_dynamic_reprioritization_median4,domain_execution_loop_repair_median4,domain_state_sensitive_communication_median4,domain_bounded_closure_continuity_median4,review_order_low_crwr,review_order_large_safety_gap,review_order_high_judge_dispersion
case_CL120_EHR_037__anon_3b5bd867799a4f3f,case_CL120_EHR_037,Qwen3-30B-A3B-Instruct-2507,closed_success,52,26,external_system_gap,light,0.9291666667,0.6285416667,0.300625,0.675,0.3919934364,0.95,0.4131582894,0.9825,2.5,0.8833333333,0.975,,,,,648,155,13
case_CL120_EHR_041__anon_79963b77d25894fb,case_CL120_EHR_041,MiniMax M3,runtime_error,8,2,incomplete_patient_information,moderate,0.6291666667,0.6291666667,0,1,0.2639209798,0.6214285714,0.3399090804,0.8675,4,0.6416666667,,0.65625,,,,649,1070,251
case_CL120_EHR_078__anon_cdd5816bb9bb0181,case_CL120_EHR_078,Qwen3-30B-A3B-Instruct-2507,closed_success,25,8,misstated_family_or_patient_information,moderate,0.8407738095,0.6305803571,0.2101934524,0.75,0.3986025527,1,0.3633073422,1,2,0.7916666667,,0.90625,,,,650,359,9
case_CL120_EHR_055__anon_195acbc107ce672b,case_CL120_EHR_055,Qwen3-30B-A3B-Instruct-2507,closed_success,9,6,delayed_or_staged_result_return,light,0.725,0.63125,0.09375,0.875,0.1513825177,0.3833333333,0.2981767513,0.7725,3,0.675,0.65,,0.975,,,651,775,636
case_CL120_EHR_013__anon_99bfbc531694883e,case_CL120_EHR_013,Kimi K2,closed_success,8,3,caregiver_conflict_or_fatigue,moderate,0.7874318182,0.6318181818,0.1556136364,0.875,0.1710642984,0.4181818182,0.2735704411,0.7669795455,3,0.675,0.975,,,,1,652,491,539
case_CL120_EHR_084__anon_9a58cbd6bcbfc784,case_CL120_EHR_084,GLM-5,closed_success,16,7,document_or_image_quality_problem,heavy,0.6318181818,0.6318181818,0,1,0.2983095235,0.7568181818,0.318339139,0.8176136364,4.5,0.7,,0.65,0.55,,,653,1143,142
case_CL120_EHR_112__anon_50b62ae080bc574b,case_CL120_EHR_112,GPT-5.6 Sol,closed_success,11,3,medication_confusion_or_execution_failure,moderate,0.7208333333,0.6322916667,0.08854166667,0.875,0.0375,0.09166666667,0.1149095734,0.2520833333,3,0.4416666667,1,,,,,654,810,1160
case_CL120_EHR_046__anon_b7bd3781e30061f8,case_CL120_EHR_046,MiniMax M3,open_at_100,100,3,low_adherence_or_refusal,moderate,0.88,0.633,0.247,0.675,0.223924513,0.545,0.3954924689,0.84075,2.5,0.7,1,,,1,,655,263,371
case_CL120_EHR_044__anon_498321c67fbefd11,case_CL120_EHR_044,MiniMax M3,closed_success,18,1,document_or_image_quality_problem,moderate,0.8208333333,0.6333333333,0.1875,0.875,0.1910656337,0.4833333333,0.2568775133,0.6854166667,3,0.8166666667,0.825,,,,,656,411,463
case_CL120_EHR_118__anon_bfbb37029110b102,case_CL120_EHR_118,GPT-5.6 Sol,closed_success,20,2,misstated_family_or_patient_information,heavy,0.7172619048,0.634375,0.08288690476,0.875,0.1958478067,0.5130952381,0.2360369083,0.5967261905,3.5,0.5333333333,,0.9625,,,,657,841,449
case_CL120_EHR_073__anon_5daf125bca091d68,case_CL120_EHR_073,Kimi K2,closed_success,24,4,caregiver_conflict_or_fatigue,light,0.7389423077,0.6349759615,0.1039663462,0.75,0.3317826743,0.8836538462,0.2581995145,0.6627403846,2,0.35,1,,,0.65,0.96875,658,718,74
case_CL120_EHR_004__anon_100cf60325a4a486,case_CL120_EHR_004,Qwen3.8-Max,closed_success,5,3,document_or_image_quality_problem,light,0.6375,0.6375,0,1,0.1696475563,0.4571428571,0.2601704698,0.6834821429,4,0.2,1,0.65,,,0.55625,659,1001,546
case_CL120_EHR_092__anon_1bb6aaa9b4982eb9,case_CL120_EHR_092,GPT-5.6 Sol,closed_success,3,2,medication_confusion_or_execution_failure,light,0.7541666667,0.6375,0.1166666667,1,0.2021584912,0.4416666667,0.1665624674,0.4416666667,3.5,0.7083333333,0.825,,,,,660,622,423
case_CL120_EHR_079__anon_04ace9b5ad3e603a,case_CL120_EHR_079,Kimi K2,closed_success,11,1,cost_transport_or_work_barrier,moderate,0.85,0.6375,0.2125,0.75,0.3051276124,0.7899230769,0.3314958746,0.9264730769,2,,0.95,,0.925,0.575,0.8,661,356,129
case_CL120_EHR_048__anon_1f7fd8d02827323b,case_CL120_EHR_048,GPT-5.4,closed_success,57,1,misstated_family_or_patient_information,moderate,0.7579545455,0.6377840909,0.1201704545,0.875,0.1310949497,0.3363636364,0.2676671363,0.755,3.5,0.775,1,0.8125,,,,662,598,740
case_CL120_EHR_103__anon_1d8b32657e7129a1,case_CL120_EHR_103,MiniMax M3,closed_success,34,3,caregiver_conflict_or_fatigue,heavy,0.725,0.6379807692,0.08701923077,0.875,0.1742368363,0.4743461538,0.2205186662,0.5749903846,3,0.175,0.975,,,0.9625,1,663,820,523
case_CL120_EHR_017__anon_5ade20fe13fa5299,case_CL120_EHR_017,Qwen3.8-Max,closed_success,63,6,external_system_gap,heavy,0.7516666667,0.6383333333,0.1133333333,1,0.1529592357,0.4,0.2527363031,0.7106666667,5,0.3,1,,1,,1,664,647,623
case_CL120_EHR_103__anon_f8c17c430d9a5ff3,case_CL120_EHR_103,DeepSeek-V3.2,closed_success,6,3,caregiver_conflict_or_fatigue,heavy,0.7254807692,0.6383413462,0.08713942308,0.875,0.1648048402,0.4581923077,0.2275374883,0.5936442308,3.5,0.175,0.975,,,0.9625,0.96875,665,817,570
case_CL120_EHR_068__anon_09f5e6f69813d84b,case_CL120_EHR_068,Qwen3-30B-A3B-Instruct-2507,closed_success,13,6,misstated_family_or_patient_information,heavy,0.7107142857,0.6389880952,0.07172619048,0.875,0.3814073734,1,0.3893492774,1,3.5,0.55,,0.925,,,,666,877,20
case_CL120_EHR_113__anon_2153a3fc0987d19f,case_CL120_EHR_113,GPT-5.4,closed_success,29,0,caregiver_conflict_or_fatigue,moderate,0.7549038462,0.6393317308,0.1155721154,0.75,0.08860514681,0.2210384615,0.08972370141,0.2079326923,2,0.725,1,,,1,0.92475,667,631,961
case_CL120_EHR_019__anon_154358a3be925397,case_CL120_EHR_019,MiniMax M3,closed_success,4,3,cost_transport_or_work_barrier,light,0.79,0.639375,0.150625,0.75,0.1048212765,0.29,0.1264200587,0.32875,2,0.75,0.8,,,0.9625,,668,506,883
case_CL120_EHR_017__anon_d1ce0c9e76f304d3,case_CL120_EHR_017,MiniMax M3,closed_success,66,4,external_system_gap,heavy,0.8397,0.6394833333,0.2002166667,0.875,0.1898340057,0.5036,0.3197298508,0.7295433333,3,0.95,0.75,,0.85,,0.7985,669,385,469
case_CL120_EHR_087__anon_8ace808622385a42,case_CL120_EHR_087,Kimi K2,closed_success,25,4,external_system_gap,light,0.8526785714,0.6395089286,0.2131696429,0.75,0.1678975065,0.4589285714,0.2126904206,0.5941964286,2,,0.8,1,0.75,,0.96875,670,353,555
case_CL120_EHR_043__anon_f4657e2047a39155,case_CL120_EHR_043,Qwen3-30B-A3B-Instruct-2507,closed_success,12,4,caregiver_conflict_or_fatigue,moderate,0.75,0.6395833333,0.1104166667,0.875,0.1676533295,0.3833333333,0.278168926,0.7841666667,3.5,0.675,0.95,,0.975,,,671,667,557
case_CL120_EHR_031__anon_0601e326e9c02e9a,case_CL120_EHR_031,MiniMax M3,closed_success,10,3,incomplete_patient_information,moderate,0.9010714286,0.640375,0.2606964286,0.675,0.1065513434,0.2264285714,0.3621422588,0.72925,3,0.975,,,,,0.8025,672,234,870
case_CL120_EHR_081__anon_dd70b7ecfe893ace,case_CL120_EHR_081,Qwen3-30B-A3B-Instruct-2507,closed_success,4,3,incomplete_patient_information,moderate,0.732,0.640875,0.091125,0.875,0.07639698947,0.216,0.1475493959,0.372,3.5,0.675,,0.76875,,,0.77125,673,790,1033
case_CL120_EHR_084__anon_37c22dc498b76544,case_CL120_EHR_084,DeepSeek-V3.2,closed_success,30,6,document_or_image_quality_problem,heavy,0.8255681818,0.6421875,0.1833806818,0.875,0.2350616663,0.5704545455,0.1854015205,0.5090909091,2.5,0.75,,0.59375,0.925,,,674,420,337
case_CL120_EHR_114__anon_d6cb44dbcaa1261d,case_CL120_EHR_114,DeepSeek-V3.2,closed_success,5,2,document_or_image_quality_problem,moderate,0.7755681818,0.6421875,0.1333806818,0.75,0.2517069503,0.6272727273,0.2106703499,0.5267045455,2,0.475,,0.90625,0.9,,,675,549,282
case_CL120_EHR_073__anon_3a95a3c57bc234c8,case_CL120_EHR_073,MiniMax M3,runtime_error,52,1,caregiver_conflict_or_fatigue,light,0.8231730769,0.6425480769,0.180625,0.875,0.1686632954,0.4173076923,0.2692249002,0.7515673077,3,0.7,1,,,1,0.725,676,426,552
case_CL120_EHR_117__anon_2864e8e730f350cf,case_CL120_EHR_117,Qwen3.8-Max,closed_success,29,4,external_system_gap,moderate,0.9084821429,0.64296875,0.2655133929,0.875,0.285482956,0.6973214286,0.3723467367,0.7729910714,3,,1,0.90625,0.75,,1,677,224,187
case_CL120_EHR_035__anon_95899178c0ec3c4f,case_CL120_EHR_035,DeepSeek-V4-Pro,open_at_100,100,42,delayed_or_staged_result_return,extreme,0.9125,0.644375,0.268125,0.675,0.4033066451,0.975,0.4369858586,0.99125,2.5,0.9,0.925,,,,,678,218,6
case_CL120_EHR_092__anon_9049ef3d8ffc679b,case_CL120_EHR_092,Kimi K2,closed_success,5,1,medication_confusion_or_execution_failure,light,0.7416666667,0.6447916667,0.096875,0.875,0.130620182,0.3416666667,0.191468421,0.50625,3.5,0.4833333333,1,,,,,679,761,744
case_CL120_EHR_107__anon_04d1794c5050d77c,case_CL120_EHR_107,Qwen3.8-Max,closed_success,11,3,external_system_gap,light,0.7441964286,0.6463169643,0.09787946429,0.875,0.1159139987,0.3107142857,0.2458208336,0.66125,3.5,,0.625,0.65625,0.95,,0.6625,680,750,814
case_CL120_EHR_103__anon_91fec67aefa347cf,case_CL120_EHR_103,DeepSeek-V4-Pro,closed_success,10,6,caregiver_conflict_or_fatigue,heavy,0.7159615385,0.6465865385,0.069375,0.875,0.1966066606,0.445,0.2555063037,0.5529807692,3.5,0.4,0.95,,,0.75,0.8025,681,882,447
case_CL120_EHR_095__anon_4fb9e77a99a53793,case_CL120_EHR_095,MiniMax M3,closed_success,27,2,delayed_or_staged_result_return,moderate,0.7736607143,0.646875,0.1267857143,0.75,0.1489703786,0.4170714286,0.2266730008,0.5805732143,2,0.95,,0.24375,0.85,,0.96875,682,564,645
case_CL120_EHR_066__anon_b1754968397ecba0,case_CL120_EHR_066,GLM-5,closed_success,5,4,low_adherence_or_refusal,moderate,0.82,0.6475,0.1725,0.875,0.06403124237,0.16,0.2012914554,0.553,3.5,0.55,1,,,1,,683,450,1083
case_CL120_EHR_114__anon_b7a8036f2dca921b,case_CL120_EHR_114,DeepSeek-V4-Pro,closed_success,11,3,document_or_image_quality_problem,moderate,0.7528409091,0.6475852273,0.1052556818,0.75,0.2568716004,0.6556818182,0.2058703246,0.4917613636,2,0.675,,0.59375,0.925,,,684,705,265
case_CL120_EHR_085__anon_9aa0d84e72f11cd1,case_CL120_EHR_085,Doubao-Seed-2.0-lite,closed_success,14,2,delayed_or_staged_result_return,heavy,0.7410714286,0.6477678571,0.09330357143,0.875,0.1309480476,0.3508928571,0.1976670811,0.5131696429,3.5,0.575,,0.69375,0.95,,0.83125,685,776,741
case_CL120_EHR_067__anon_e9966dbf299aaf36,case_CL120_EHR_067,GLM-5,closed_success,18,6,external_system_gap,heavy,0.75,0.6479166667,0.1020833333,0.75,0.2918749256,0.7833333333,0.2668820745,0.6675,2,0.55,0.975,,0.725,,,686,725,163
case_CL120_EHR_112__anon_582f5247a32172a0,case_CL120_EHR_112,Kimi K2,closed_success,13,2,medication_confusion_or_execution_failure,moderate,0.7416666667,0.6479166667,0.09375,0.875,0.1286110361,0.3416666667,0.1952749964,0.50625,3.5,0.5083333333,0.975,,,,,687,774,752
case_CL120_EHR_115__anon_62d139dfe178dab5,case_CL120_EHR_115,MiniMax M3,closed_success,31,2,delayed_or_staged_result_return,moderate,0.7648214286,0.6486160714,0.1162053571,0.875,0.1913979343,0.4283928571,0.2859359769,0.7999375,3.5,0.925,,0.9625,0.7,,0.94,688,626,462
case_CL120_EHR_086__anon_745a5dcfe3d612d5,case_CL120_EHR_086,Qwen3-30B-A3B-Instruct-2507,closed_success,10,6,low_adherence_or_refusal,heavy,0.765,0.64875,0.11625,0.875,0.1541661036,0.435,0.1032953139,0.235,3.5,0.875,0.775,,,0.925,,689,625,618
case_CL120_EHR_078__anon_9ca5b062fbccb053,case_CL120_EHR_078,MiniMax M3,open_at_100,100,3,misstated_family_or_patient_information,moderate,0.893452381,0.6488095238,0.2446428571,0.875,0.1721059184,0.4523809524,0.2318603645,0.6217261905,3,0.8416666667,,0.9625,,,,690,269,533
case_CL120_EHR_024__anon_aaaa91e1ff7748c4,case_CL120_EHR_024,GPT-5.6 Sol,closed_success,6,2,document_or_image_quality_problem,moderate,0.7610119048,0.6491071429,0.1119047619,0.875,0.2217789167,0.5636904762,0.3021758892,0.8472916667,3,0.7083333333,,,,,0.83125,691,659,379
case_CL120_EHR_053__anon_ba2325eaba1d7953,case_CL120_EHR_053,DeepSeek-V4-Pro,closed_success,6,3,caregiver_conflict_or_fatigue,light,0.9260576923,0.6491201923,0.2769375,0.675,0.08702433049,0.1940384615,0.3549642182,0.7179134615,3,0.975,0.975,,,0.9625,0.77125,692,201,972
case_CL120_EHR_032__anon_3d3ba3003bef6f2e,case_CL120_EHR_032,MiniMax M3,open_at_100,100,2,medication_confusion_or_execution_failure,moderate,0.9291666667,0.6502083333,0.2789583333,0.675,0.2497568262,0.6083333333,0.3948703747,0.8629166667,2.5,0.8833333333,0.975,,,,,693,193,290
case_CL120_EHR_110__anon_9cc05076d2b85ad1,case_CL120_EHR_110,Qwen3.8-Max,closed_success,16,4,privacy_stigma_or_sensitive_history,moderate,0.8714285714,0.6517857143,0.2196428571,0.875,0.1192557704,0.3285714286,0.2425988648,0.685,3.5,0.7,1,,0.95,1,,694,341,795
case_CL120_EHR_069__anon_2ef5460eb21c819f,case_CL120_EHR_069,DeepSeek-V3.2,closed_success,23,6,cost_transport_or_work_barrier,extreme,0.8697115385,0.6522836538,0.2174278846,0.75,0.1578100742,0.3846153846,0.2804426539,0.7752403846,2,,1,,0.6,1,0.9375,695,343,597
case_CL120_EHR_066__anon_7f50459c628ebca4,case_CL120_EHR_066,Kimi K2,closed_success,20,1,low_adherence_or_refusal,moderate,0.765,0.6525,0.1125,0.875,0.1766882848,0.42,0.2758246726,0.771,3,0.675,0.95,,,0.825,,696,656,516
case_CL120_EHR_051__anon_e5c8e6ab7c8937e6,case_CL120_EHR_051,Kimi K2,closed_success,53,9,incomplete_patient_information,heavy,0.936875,0.65290625,0.28396875,0.675,0.157689618,0.38625,0.371240521,0.7851875,3,0.95,,0.8875,,,0.96875,697,185,598
case_CL120_EHR_087__anon_f107a7d064ee4972,case_CL120_EHR_087,DeepSeek-V3.2,closed_success,11,2,external_system_gap,light,0.77075,0.6530133929,0.1177366071,0.875,0.04943900205,0.1142857143,0.05483840164,0.125125,3.5,,0.8,0.86875,0.9,,0.66975,698,616,1131
case_CL120_EHR_018__anon_d8a295e6a7968c2e,case_CL120_EHR_018,Doubao-Seed-2.0-lite,closed_success,14,2,misstated_family_or_patient_information,extreme,0.7630681818,0.6538352273,0.1092329545,0.875,0.1811253401,0.4618181818,0.288504855,0.8116363636,3,0.7,0.8,,,,0.83125,699,674,497
case_CL120_EHR_013__anon_51fca0947a25adb6,case_CL120_EHR_013,GLM-5,closed_success,5,3,caregiver_conflict_or_fatigue,moderate,0.7539772727,0.6541193182,0.09985795455,0.875,0.1348726763,0.3585454545,0.1924490523,0.5189090909,3.5,0.75,0.975,,,,0.83125,700,739,718
case_CL120_EHR_114__anon_a1a2a6fdba8e8d30,case_CL120_EHR_114,Qwen3-30B-A3B-Instruct-2507,closed_success,6,4,document_or_image_quality_problem,moderate,0.7755681818,0.6544034091,0.1211647727,0.875,0.08418491367,0.1965909091,0.02928789893,0.07755681818,3.5,0.75,,0.8875,0.925,,,701,589,985
case_CL120_EHR_032__anon_693d084cba7a4f19,case_CL120_EHR_032,Qwen3.8-Max,closed_success,99,2,medication_confusion_or_execution_failure,moderate,0.9416666667,0.6545833333,0.2870833333,0.675,0.1669138792,0.4083333333,0.3726892201,0.7929166667,3,0.8833333333,1,,,,,702,175,564
case_CL120_EHR_035__anon_6972bbe7ca22441f,case_CL120_EHR_035,GLM-5,closed_success,64,17,delayed_or_staged_result_return,extreme,0.9416666667,0.6545833333,0.2870833333,0.675,0.4081366448,0.975,0.4337269221,0.99125,3,0.8833333333,1,,,,,703,176,4
case_CL120_EHR_120__anon_218dd6b586fdbe7e,case_CL120_EHR_120,DeepSeek-V4-Pro,closed_success,11,3,privacy_stigma_or_sensitive_history,heavy,0.7446428571,0.6549107143,0.08973214286,0.875,0.2098708149,0.5357142857,0.2864369592,0.7307142857,3.5,0.375,0.8,,0.95,0.7875,,704,802,405
