packet_id,case_id,doctor_model,terminal_status,turns_completed,workspace_turn_count,primary_friction,friction_intensity,friction_capability_composite_median4,careloop_real_world_robustness_median4,fcc_minus_crwr,clinical_error_gate_median4,fcc_judge_sd,fcc_judge_range,crwr_judge_sd,crwr_judge_range,ordinal_grade_median4,domain_information_repair_median4,domain_constraint_navigation_median4,domain_dynamic_reprioritization_median4,domain_execution_loop_repair_median4,domain_state_sensitive_communication_median4,domain_bounded_closure_continuity_median4,review_order_low_crwr,review_order_large_safety_gap,review_order_high_judge_dispersion
case_CL120_EHR_060__anon_cbe555dc85b32e72,case_CL120_EHR_060,Kimi K2,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0,0,0,0.35,0.01515544457,0.035,0.005304405598,0.01225,1,0,0,,,0,,1,1105,1191
case_CL120_EHR_060__anon_dd3b549cc044b183,case_CL120_EHR_060,DeepSeek-V3.2,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.0675,0.023625,0.043875,0.35,0.07284401142,0.155,0.025495404,0.05425,1,0.125,0.025,,,0.0375,,2,946,1042
case_CL120_EHR_060__anon_f517fa3fc71c83f7,case_CL120_EHR_060,Doubao-Seed-2.0-lite,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.0925,0.032375,0.060125,0.35,0.02358495283,0.055,0.02458435732,0.06325,1,0.1,0.075,,,0.1125,,3,917,1184
case_CL120_EHR_105__anon_e878a94b323763c1,case_CL120_EHR_105,Kimi K2,closed_success,4,1,delayed_or_staged_result_return,light,0.1053571429,0.036875,0.06848214286,0.35,0.139568722,0.3466785714,0.1049914299,0.2600089286,1,0.2,,0.05625,0,,0.16875,4,887,697
case_CL120_EHR_028__anon_3d5ecf9278905fbc,case_CL120_EHR_028,Doubao-Seed-2.0-lite,closed_success,33,2,misstated_family_or_patient_information,moderate,0.1130952381,0.03958333333,0.07351190476,0.35,0.1348605141,0.3023809524,0.04720117995,0.1058333333,1,0.06666666667,,0.175,,,,5,872,719
case_CL120_EHR_060__anon_049ce660080c1a5f,case_CL120_EHR_060,Qwen3-30B-A3B-Instruct-2507,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.135,0.04725,0.08775,0.35,0.1268549861,0.335,0.04439924514,0.11725,1,0.2,0.1,,,0.075,,6,813,764
case_CL120_EHR_048__anon_54ba6deba376961f,case_CL120_EHR_048,MiniMax M3,runtime_error,2,1,misstated_family_or_patient_information,moderate,0.1840909091,0.06443181818,0.1196590909,0.35,0.116451979,0.2465909091,0.04075819264,0.08630681818,1,0.2,0.25,0.09375,,,,7,602,810
case_CL120_EHR_075__anon_a094e2439151e4d5,case_CL120_EHR_075,Qwen3-30B-A3B-Instruct-2507,closed_success,7,7,delayed_or_staged_result_return,moderate,0.20625,0.0721875,0.1340625,0.35,0.1280930149,0.3225,0.04483255522,0.112875,1,0.2,,0,0.2,,0.3625,8,548,757
case_CL120_EHR_060__anon_ef4010395380a436,case_CL120_EHR_060,DeepSeek-V4-Pro,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.15,0.0745,0.0755,0.35,0.09031195934,0.24,0.03094980816,0.084,1,0.2,0.1,,,0.1125,,9,867,950
case_CL120_EHR_028__anon_21a29381e739182e,case_CL120_EHR_028,Qwen3-30B-A3B-Instruct-2507,closed_success,25,14,misstated_family_or_patient_information,moderate,0.1672619048,0.07958333333,0.08767857143,0.35,0.1077245289,0.3023809524,0.06726461093,0.1821428571,1,0.2083333333,,0.1125,,,,10,814,866
case_CL120_EHR_060__anon_570b62ddf4f683ed,case_CL120_EHR_060,GLM-5,runtime_error,1,1,privacy_stigma_or_sensitive_history,moderate,0.1975,0.084,0.1135,0.35,0.04839615171,0.12,0.01462166094,0.03975,1,0.225,0.175,,,0.15,,11,643,1132
case_CL120_EHR_028__anon_95f8814f5ed6f7ec,case_CL120_EHR_028,GLM-5,closed_success,17,7,misstated_family_or_patient_information,moderate,0.243452381,0.08520833333,0.1582440476,0.35,0.1554656475,0.3946428571,0.1467236676,0.3569345238,1,0.4,,0.09375,,,,12,485,610
case_CL120_EHR_085__anon_18577c10ab84e6d7,case_CL120_EHR_085,DeepSeek-V3.2,open_at_100,100,39,delayed_or_staged_result_return,heavy,0.175125,0.09187946429,0.08324553571,0.55,0.3280954854,0.8553571429,0.2545582534,0.6415178571,1.5,0.075,,0.15,0.15,,0.36725,13,840,81
case_CL120_EHR_090__anon_9f9302feb277d6f8,case_CL120_EHR_090,Qwen3-30B-A3B-Instruct-2507,closed_success,14,12,privacy_stigma_or_sensitive_history,light,0.2732142857,0.095625,0.1775892857,0.35,0.1775214668,0.4142857143,0.06213251338,0.145,1,0.025,0.3,,0.45,0.1125,,14,432,512
case_CL120_EHR_085__anon_04f4025537bd9436,case_CL120_EHR_085,Qwen3-30B-A3B-Instruct-2507,closed_success,7,4,delayed_or_staged_result_return,heavy,0.2883392857,0.10091875,0.1874205357,0.35,0.2715398697,0.7241071429,0.2120898968,0.5430803571,1,0.275,,0.23125,0.35,,0.281,15,413,224
case_CL120_EHR_054__anon_ac5a39ee38b6aa57,case_CL120_EHR_054,Doubao-Seed-2.0-lite,closed_success,4,2,document_or_image_quality_problem,light,0.3022727273,0.1057954545,0.1964772727,0.35,0.1738042085,0.4818181818,0.1960480633,0.5054545455,1,0.15,0.575,0.075,,,,16,395,525
case_CL120_EHR_058__anon_bc762a43941aa4e1,case_CL120_EHR_058,Doubao-Seed-2.0-lite,closed_success,3,2,misstated_family_or_patient_information,moderate,0.1916666667,0.1070833333,0.08458333333,0.35,0.1890560433,0.525,0.07210583404,0.18375,1,0.2083333333,0.175,,,,,17,832,472
case_CL120_EHR_044__anon_b127ab98643850bb,case_CL120_EHR_044,Doubao-Seed-2.0-lite,closed_success,33,2,document_or_image_quality_problem,moderate,0.3125,0.109375,0.203125,0.35,0.3479291415,0.8833333333,0.2693791691,0.6725,1,0.25,0.375,,,,,18,375,54
case_CL120_EHR_108__anon_241eb2ded072a1f1,case_CL120_EHR_108,Kimi K2,closed_success,4,2,misstated_family_or_patient_information,light,0.218452381,0.109672619,0.1087797619,0.35,0.1696851451,0.4678571429,0.06046202189,0.16375,1,0.1666666667,,0.2875,,,,19,678,545
case_CL120_EHR_004__anon_eb62752c671ce77f,case_CL120_EHR_004,Kimi K2,closed_success,7,2,document_or_image_quality_problem,light,0.3148214286,0.1101875,0.2046339286,0.35,0.1420271368,0.3710714286,0.2198066016,0.5250982143,1,0.1,0.55,0.325,,,0.37375,20,372,682
case_CL120_EHR_060__anon_dd2b4f029ade327f,case_CL120_EHR_060,GPT-5.4,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.2225,0.11525,0.10725,0.55,0.09071762508,0.25,0.02772993362,0.06975,1.5,0.15,0.225,,,0.3625,,21,693,947
case_CL120_EHR_056__anon_b7ae899f7a300d52,case_CL120_EHR_056,MiniMax M3,runtime_error,2,2,low_adherence_or_refusal,light,0.2560681818,0.1180329545,0.1380352273,0.35,0.1363538117,0.3105454545,0.04253907606,0.1086909091,1,0.325,0.25,,,,0.17225,22,535,712
case_CL120_EHR_117__anon_97183b454391d93e,case_CL120_EHR_117,Qwen3-30B-A3B-Instruct-2507,closed_success,15,9,external_system_gap,moderate,0.3486071429,0.1220125,0.2265946429,0.35,0.2148293023,0.5007857143,0.07519025582,0.175275,1,,0.4,0.175,0.2,,0.4185,23,322,393
case_CL120_EHR_116__anon_2c4a584488a386e3,case_CL120_EHR_116,Qwen3-30B-A3B-Instruct-2507,closed_success,14,4,low_adherence_or_refusal,moderate,0.3575,0.125125,0.232375,0.35,0.3344211417,0.845,0.1170473996,0.29575,1,0.05,0.575,,,0.5375,,24,303,70
case_CL120_EHR_032__anon_dce1051cfda0a099,case_CL120_EHR_032,Kimi K2,closed_success,60,7,medication_confusion_or_execution_failure,moderate,0.3625,0.126875,0.235625,0.35,0.2545676482,0.6833333333,0.08909867686,0.2391666667,1,0.1,0.625,,,,,25,288,273
case_CL120_EHR_060__anon_75ea467ff07ae16d,case_CL120_EHR_060,Qwen3.8-Max,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.17,0.1275,0.0425,0.75,0.03416412592,0.095,0.04366254652,0.11525,2,0.15,0.2,,,0.15,,26,949,1170
case_CL120_EHR_043__anon_cb84bb4f1e8060f8,case_CL120_EHR_043,MiniMax M3,runtime_error,3,1,caregiver_conflict_or_fatigue,moderate,0.3666666667,0.1283333333,0.2383333333,0.35,0.2787310033,0.7833333333,0.3185048077,0.805,1,0.3,0.45,,0.35,,,27,276,204
case_CL120_EHR_051__anon_3d24538bff81f6da,case_CL120_EHR_051,MiniMax M3,runtime_error,3,2,incomplete_patient_information,heavy,0.2876,0.1323175,0.1552825,0.35,0.1322887443,0.337,0.05415052786,0.141575,1,0.2,,0.30625,,,0.38575,28,493,735
case_CL120_EHR_065__anon_1f7950edfd465bd3,case_CL120_EHR_065,Kimi K2,closed_success,7,3,delayed_or_staged_result_return,moderate,0.3916666667,0.1370833333,0.2545833333,0.35,0.2473470347,0.6833333333,0.08657146213,0.2391666667,1,0.45,0.375,,0.35,,,29,247,297
case_CL120_EHR_014__anon_609dfb9bc9f404a1,case_CL120_EHR_014,DeepSeek-V3.2,closed_success,7,5,document_or_image_quality_problem,moderate,0.394,0.1379,0.2561,0.35,0.09490494834,0.23375,0.1359796505,0.3548125,1,0.2,,0.36875,,,0.51125,30,243,931
case_CL120_EHR_060__anon_a2d4e913b4367afa,case_CL120_EHR_060,GPT-5.6 Sol,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.185,0.13875,0.04625,0.75,0.1027131929,0.25,0.09053383345,0.2395,2,0.15,0.15,,,0.325,,31,945,892
case_CL120_EHR_060__anon_3a38f2c4992e96bb,case_CL120_EHR_060,MiniMax M3,runtime_error,1,0,privacy_stigma_or_sensitive_history,moderate,0.205,0.13925,0.06575,0.55,0.1344897766,0.34,0.03777751481,0.086,1.5,0.15,0.2,,,0.3625,,32,898,722
case_CL120_EHR_117__anon_b9dd1084f01938a5,case_CL120_EHR_117,Kimi K2,closed_success,11,2,external_system_gap,moderate,0.4008928571,0.1403125,0.2605803571,0.35,0.2703083527,0.6946428571,0.09460792345,0.243125,1,,0.575,0.25,0.35,,0.3875,33,235,228
case_CL120_EHR_120__anon_61d87000e3fab8c5,case_CL120_EHR_120,MiniMax M3,runtime_error,3,3,privacy_stigma_or_sensitive_history,heavy,0.2428571429,0.1421428571,0.1007142857,0.55,0.1783659532,0.4857142857,0.1539004211,0.3942857143,1.5,0.05,0.45,,0.1,0.5,,34,734,506
case_CL120_EHR_111__anon_b7909670f1476bda,case_CL120_EHR_111,GPT-5.6 Sol,closed_success,3,2,incomplete_patient_information,moderate,0.37575,0.143675,0.232075,0.55,0.1263261528,0.338,0.1244957672,0.305125,1.5,0.45,,0.13125,,,0.445,35,305,769
case_CL120_EHR_088__anon_ef75c242473762d8,case_CL120_EHR_088,Kimi K2,closed_success,4,4,misstated_family_or_patient_information,light,0.4169642857,0.1459375,0.2710267857,0.35,0.208197394,0.5476190476,0.2041174282,0.5476190476,1,0.425,,0.325,,,,36,211,409
case_CL120_EHR_091__anon_4a854f5902720812,case_CL120_EHR_091,Doubao-Seed-2.0-lite,closed_success,11,1,incomplete_patient_information,light,0.417,0.14595,0.27105,0.35,0.2309662025,0.64425,0.2547552044,0.6642375,1,0.625,,0.05625,,,0.41875,37,210,348
case_CL120_EHR_113__anon_985b7f4495f33b76,case_CL120_EHR_113,Qwen3-30B-A3B-Instruct-2507,closed_success,16,12,caregiver_conflict_or_fatigue,moderate,0.4211538462,0.1474038462,0.27375,0.35,0.3771658363,0.8865384615,0.1320080427,0.3102884615,1,0.3,0.5,,,0.5,0.425,38,206,26
case_CL120_EHR_093__anon_97f1474b9821aea5,case_CL120_EHR_093,Qwen3.8-Max,closed_success,3,2,caregiver_conflict_or_fatigue,moderate,0.4173076923,0.1493990385,0.2679086538,0.55,0.2324364206,0.6167307692,0.2760557297,0.6615384615,1.5,0.125,0.55,,,0.7125,0.4,39,220,346
case_CL120_EHR_039__anon_2a3f81fa24817eaa,case_CL120_EHR_039,Qwen3-30B-A3B-Instruct-2507,closed_success,11,7,cost_transport_or_work_barrier,light,0.4293653846,0.1502778846,0.2790875,0.35,0.2158331325,0.5519230769,0.1654634074,0.44125,1,,0.25,,0.35,0.75,0.32725,40,191,391
case_CL120_EHR_023__anon_81e7570d71a8b909,case_CL120_EHR_023,Doubao-Seed-2.0-lite,closed_success,7,2,caregiver_conflict_or_fatigue,light,0.3884615385,0.1515865385,0.236875,0.55,0.1546672798,0.4192307692,0.1398410347,0.3456730769,1.5,0.125,0.55,0.35,,0.4,,41,281,614
case_CL120_EHR_032__anon_34a6086c151862d4,case_CL120_EHR_032,Doubao-Seed-2.0-lite,closed_success,25,2,medication_confusion_or_execution_failure,moderate,0.4375,0.153125,0.284375,0.35,0.3268311129,0.85,0.2670807942,0.6775,1,0.275,0.6,,,,,42,183,86
case_CL120_EHR_040__anon_2388b9b1e5bea9d6,case_CL120_EHR_040,Kimi K2,closed_success,7,2,privacy_stigma_or_sensitive_history,light,0.4375,0.153125,0.284375,0.35,0.2393040371,0.6642857143,0.268645844,0.6967857143,1,0.05,0.925,,0.2,0.7125,,43,184,324
case_CL120_EHR_050__anon_6fc72126367dd07a,case_CL120_EHR_050,Kimi K2,closed_success,34,8,privacy_stigma_or_sensitive_history,heavy,0.40625,0.153125,0.253125,0.35,0.1302943242,0.3159090909,0.08450484896,0.2386931818,1,0.05,0.425,0.65625,,,,44,252,745
case_CL120_EHR_063__anon_5a01f1e10d72a738,case_CL120_EHR_063,Qwen3-30B-A3B-Instruct-2507,closed_success,3,1,caregiver_conflict_or_fatigue,moderate,0.4384615385,0.1534615385,0.285,0.35,0.3133467633,0.8721153846,0.3795910189,0.9458653846,1,0.1,0.8,,,0.5,0.4,45,182,111
case_CL120_EHR_030__anon_fd353ee0c81d4f03,case_CL120_EHR_030,Kimi K2,closed_success,38,2,privacy_stigma_or_sensitive_history,moderate,0.4571428571,0.16,0.2971428571,0.35,0.2945657367,0.7107142857,0.1030980078,0.24875,1,0.3,0.6,,0.5,0.4,,46,162,152
case_CL120_EHR_050__anon_ba5b17cdfb073971,case_CL120_EHR_050,Qwen3-30B-A3B-Instruct-2507,closed_success,29,11,privacy_stigma_or_sensitive_history,heavy,0.4596590909,0.1608806818,0.2987784091,0.35,0.2916963502,0.7931818182,0.3780606768,0.9276136364,1,0.2,0.6,0.71875,,,,47,159,165
case_CL120_EHR_040__anon_eb08df8957162636,case_CL120_EHR_040,Qwen3-30B-A3B-Instruct-2507,closed_success,9,5,privacy_stigma_or_sensitive_history,light,0.4625,0.161875,0.300625,0.35,0.2520452057,0.7107142857,0.3101055459,0.7873214286,1,0,0.925,,0.25,0.8875,,48,156,279
case_CL120_EHR_111__anon_f707364138f61bf9,case_CL120_EHR_111,Qwen3-30B-A3B-Instruct-2507,closed_success,6,3,incomplete_patient_information,moderate,0.3275,0.1648125,0.1626875,0.55,0.1781742476,0.4555,0.03399362302,0.084,1.5,0.15,,0.5,,,0.425,49,473,508
case_CL120_EHR_064__anon_99026533a80a72f9,case_CL120_EHR_064,Qwen3-30B-A3B-Instruct-2507,closed_success,10,5,document_or_image_quality_problem,moderate,0.3017045455,0.1651420455,0.1365625,0.55,0.1367159275,0.3829545455,0.1195090262,0.3163068182,1.5,0.2,,0.30625,0.3,,,50,538,709
case_CL120_EHR_092__anon_c796c3e0069e2a61,case_CL120_EHR_092,Qwen3-30B-A3B-Instruct-2507,closed_success,2,1,medication_confusion_or_execution_failure,light,0.2208333333,0.165625,0.05520833333,0.75,0.1898921478,0.4916666667,0.1547742812,0.41875,2,0.2166666667,0.25,,,,,51,934,468
case_CL120_EHR_050__anon_1a9fcd9093b362c4,case_CL120_EHR_050,Doubao-Seed-2.0-lite,closed_success,13,3,privacy_stigma_or_sensitive_history,heavy,0.4,0.1658522727,0.2341477273,0.35,0.1548657693,0.425,0.1275983905,0.3511363636,1,0.1,0.6,0.525,,,,52,295,613
case_CL120_EHR_024__anon_65e4efca9234cd2f,case_CL120_EHR_024,DeepSeek-V3.2,closed_success,8,4,document_or_image_quality_problem,moderate,0.4896428571,0.171375,0.3182678571,0.35,0.1715542694,0.4814285714,0.1752021627,0.4549285714,1,0.45,,,,,0.5425,53,122,538
case_CL120_EHR_037__anon_764d51df4836b545,case_CL120_EHR_037,Doubao-Seed-2.0-lite,closed_success,5,1,external_system_gap,light,0.3041666667,0.1714583333,0.1327083333,0.675,0.2683135992,0.7,0.2978163256,0.765,2,0.2083333333,0.4,,,,,54,553,237
case_CL120_EHR_018__anon_15ab2e9e958ed72d,case_CL120_EHR_018,GPT-5.4,closed_success,3,1,misstated_family_or_patient_information,extreme,0.4243181818,0.1724488636,0.2518693182,0.55,0.1353721278,0.3794090909,0.1358149759,0.3324318182,1.5,0.55,0.425,,,,0.41375,55,255,715
case_CL120_EHR_022__anon_e8b97e6279d89251,case_CL120_EHR_022,Kimi K2,closed_success,7,3,medication_confusion_or_execution_failure,light,0.5,0.175,0.325,0.35,0.3223179934,0.8666666667,0.334158354,0.8666666667,1,0.225,0.775,,,,,56,112,93
case_CL120_EHR_031__anon_43f9b7fdd165700f,case_CL120_EHR_031,Doubao-Seed-2.0-lite,closed_success,9,2,incomplete_patient_information,moderate,0.3896428571,0.1767738095,0.2128690476,0.55,0.1720941604,0.443452381,0.2362497219,0.5871964286,1.5,0.2833333333,,,,,0.5425,57,355,534
case_CL120_EHR_117__anon_32f3248051f22919,case_CL120_EHR_117,Doubao-Seed-2.0-lite,closed_success,10,2,external_system_gap,moderate,0.5007142857,0.17721875,0.3234955357,0.35,0.2394626004,0.5898214286,0.2272205501,0.6052678571,1,,0.725,0.5625,0.225,,0.33375,58,114,321
case_CL120_EHR_065__anon_a2e1f9f966f8f798,case_CL120_EHR_065,Doubao-Seed-2.0-lite,closed_success,13,2,delayed_or_staged_result_return,moderate,0.5083333333,0.1779166667,0.3304166667,0.35,0.1923448148,0.5,0.3066266816,0.7383333333,1,0.25,0.65,,0.65,,,59,105,456
case_CL120_EHR_027__anon_8406c49514484c8b,case_CL120_EHR_027,Kimi K2,closed_success,6,2,external_system_gap,moderate,0.5147321429,0.18015625,0.3345758929,0.35,0.2946526649,0.7223214286,0.1031284327,0.2528125,1,0.225,0.6,0.7375,,,0.49375,60,102,151
case_CL120_EHR_045__anon_552d69a3ea9ccdcb,case_CL120_EHR_045,Qwen3-30B-A3B-Instruct-2507,closed_success,26,11,delayed_or_staged_result_return,moderate,0.4994318182,0.1849431818,0.3144886364,0.35,0.2670942593,0.675,0.236030898,0.6288636364,1,0.475,0.775,0.0375,,,,61,134,241
case_CL120_EHR_111__anon_dae27f15e41a8a7e,case_CL120_EHR_111,Doubao-Seed-2.0-lite,closed_success,5,1,incomplete_patient_information,moderate,0.42225,0.1878625,0.2343875,0.55,0.1445507588,0.402,0.05296843805,0.12975,1.5,0.3,,0.2875,,,0.5225,62,293,672
case_CL120_EHR_032__anon_12a2963ddf12e518,case_CL120_EHR_032,DeepSeek-V3.2,closed_success,12,7,medication_confusion_or_execution_failure,moderate,0.5375,0.188125,0.349375,0.35,0.348658142,0.9083333333,0.3591943386,0.9245833333,1,0.475,0.6,,,,,63,88,53
case_CL120_EHR_065__anon_39532726b83864ba,case_CL120_EHR_065,Qwen3-30B-A3B-Instruct-2507,closed_success,5,3,delayed_or_staged_result_return,moderate,0.5,0.1895833333,0.3104166667,0.35,0.239320508,0.6166666667,0.1933534248,0.5333333333,1,0.2,0.6,,0.575,,,64,143,323
case_CL120_EHR_054__anon_f0c9bdfa6ec17194,case_CL120_EHR_054,GLM-5,closed_success,10,8,document_or_image_quality_problem,light,0.4693181818,0.1903125,0.2790056818,0.35,0.2331780732,0.6306818182,0.1851438017,0.5054545455,1,0.15,1,0.09375,,,,65,192,343
case_CL120_EHR_024__anon_c78067e8d9b20f04,case_CL120_EHR_024,Kimi K2,closed_success,4,2,document_or_image_quality_problem,moderate,0.5486309524,0.1920208333,0.356610119,0.35,0.1797925781,0.4895238095,0.2951075869,0.7222857143,1,0.5916666667,,,,,0.49125,66,84,501
case_CL120_EHR_052__anon_c4bd786cec32dd1e,case_CL120_EHR_052,MiniMax M3,runtime_error,10,5,medication_confusion_or_execution_failure,extreme,0.4073863636,0.1928125,0.2145738636,0.35,0.2173922963,0.5295454545,0.07028194785,0.1853409091,1,0.275,0.525,,,,0.39375,67,349,388
case_CL120_EHR_110__anon_11e1fbb490c742d7,case_CL120_EHR_110,Doubao-Seed-2.0-lite,closed_success,8,2,privacy_stigma_or_sensitive_history,moderate,0.3196428571,0.1935714286,0.1260714286,0.55,0.07826645357,0.1892857143,0.1298425125,0.30375,1.5,0.475,0.225,,0.3,0.1875,,68,565,1023
case_CL120_EHR_088__anon_cc817f42056b279a,case_CL120_EHR_088,MiniMax M3,closed_success,12,1,misstated_family_or_patient_information,light,0.4145833333,0.1936755952,0.2209077381,0.35,0.2760291118,0.6946428571,0.09356974593,0.243125,1,0.3083333333,,0.55625,,,,69,339,208
case_CL120_EHR_024__anon_8f261146e35e9446,case_CL120_EHR_024,MiniMax M3,closed_success,5,3,document_or_image_quality_problem,moderate,0.5296428571,0.1937083333,0.3359345238,0.35,0.2019951066,0.4321428571,0.171099972,0.4210119048,1,0.5416666667,,,,,0.6025,70,101,424
case_CL120_EHR_002__anon_721ea269f2d7696b,case_CL120_EHR_002,MiniMax M3,open_at_100,100,1,medication_confusion_or_execution_failure,light,0.4041666667,0.1947916667,0.209375,0.55,0.2853101991,0.7333333333,0.0677569537,0.1866666667,1.5,0.4083333333,0.4,,,,,71,361,188
case_CL120_EHR_027__anon_8c190b05e7b8f6d5,case_CL120_EHR_027,Doubao-Seed-2.0-lite,closed_success,9,2,external_system_gap,moderate,0.5566964286,0.19484375,0.3618526786,0.35,0.2058926442,0.5651785714,0.07206242547,0.1978125,1,0.25,0.625,0.36875,,,0.6625,72,81,413
case_CL120_EHR_033__anon_3437463df52b49e5,case_CL120_EHR_033,DeepSeek-V4-Pro,closed_success,17,5,caregiver_conflict_or_fatigue,heavy,0.4072727273,0.1954318182,0.2118409091,0.55,0.286007055,0.7125,0.3627096574,0.8901477273,1.5,0.35,0.4,,,,0.66,73,357,185
case_CL120_EHR_045__anon_1f03069aa3eeabf8,case_CL120_EHR_045,GLM-5,closed_success,4,3,delayed_or_staged_result_return,moderate,0.5636363636,0.2020454545,0.3615909091,0.55,0.2147479243,0.6022727273,0.1760037624,0.4095454545,1.5,0.6,0.95,0.1125,,,,74,82,394
case_CL120_EHR_057__anon_1453b84ea1098049,case_CL120_EHR_057,DeepSeek-V4-Pro,closed_success,13,3,external_system_gap,light,0.5778035714,0.20223125,0.3755723214,0.35,0.3206191162,0.8866071429,0.3358419793,0.8866071429,1,,0.75,0.09375,0.5,,0.736,75,72,95
case_CL120_EHR_088__anon_cfbac8c9b2c92f43,case_CL120_EHR_088,Doubao-Seed-2.0-lite,closed_success,7,2,misstated_family_or_patient_information,light,0.5797619048,0.2029166667,0.3768452381,0.35,0.2542462429,0.6505952381,0.252266389,0.6796130952,1,0.4166666667,,0.775,,,,76,70,274
case_CL120_EHR_058__anon_a7b66ee3750ac5a0,case_CL120_EHR_058,Kimi K2,closed_success,5,3,misstated_family_or_patient_information,moderate,0.5875,0.205625,0.381875,0.35,0.3355395738,0.8583333333,0.2441614227,0.65375,1,0.5,0.675,,,,,77,68,68
case_CL120_EHR_080__anon_394ed8cdd1134b02,case_CL120_EHR_080,Qwen3.8-Max,closed_success,4,2,privacy_stigma_or_sensitive_history,moderate,0.375,0.20625,0.16875,0.55,0.299095149,0.8357142857,0.3347940227,0.8682142857,1.5,0.45,0.2,,0.2,0.925,,78,463,140
case_CL120_EHR_027__anon_5bcf0ac51b290e32,case_CL120_EHR_027,Qwen3-30B-A3B-Instruct-2507,closed_success,5,3,external_system_gap,moderate,0.5960178571,0.20860625,0.3874116071,0.35,0.2805116345,0.7580357143,0.2994011403,0.7940178571,1,0.45,0.95,0.3875,,,0.52725,79,64,199
case_CL120_EHR_061__anon_e448320c8b2215b2,case_CL120_EHR_061,Kimi K2,closed_success,7,2,incomplete_patient_information,moderate,0.3875,0.20875,0.17875,0.35,0.2197299479,0.525,0.07159660759,0.18375,1,0.325,0.425,,,,,80,428,383
case_CL120_EHR_050__anon_58dcf4f9bdac2a4b,case_CL120_EHR_050,DeepSeek-V4-Pro,open_at_100,100,35,privacy_stigma_or_sensitive_history,heavy,0.50625,0.2094034091,0.2968465909,0.55,0.1979563312,0.5204545455,0.1575913877,0.4030681818,1.5,0.25,0.65,0.55625,,,,81,163,442
case_CL120_EHR_009__anon_206768e96a710a4f,case_CL120_EHR_009,Doubao-Seed-2.0-lite,closed_success,11,1,cost_transport_or_work_barrier,moderate,0.4449038462,0.2123653846,0.2325384615,0.55,0.2331945073,0.5836538462,0.3107009187,0.7741153846,1.5,,0.425,,0.425,0.4375,0.51125,82,302,342
case_CL120_EHR_054__anon_dee94cbc1ed8e21b,case_CL120_EHR_054,DeepSeek-V4-Pro,closed_success,10,6,document_or_image_quality_problem,light,0.4772727273,0.2149715909,0.2623011364,0.55,0.2434609366,0.5784090909,0.219731514,0.5618181818,1.5,0.375,0.8,0.2625,,,,83,232,306
case_CL120_EHR_020__anon_e1f7330f2c729c8d,case_CL120_EHR_020,DeepSeek-V3.2,closed_success,4,4,privacy_stigma_or_sensitive_history,light,0.3843181818,0.2150113636,0.1693068182,0.55,0.1604204187,0.4181818182,0.172160257,0.4528977273,1.5,0.45,0.2,,,,0.5425,84,462,589
case_CL120_EHR_058__anon_3b2de5568241f7cb,case_CL120_EHR_058,Qwen3.8-Max,closed_success,11,5,misstated_family_or_patient_information,moderate,0.6208333333,0.2172916667,0.4035416667,0.35,0.3318979512,0.925,0.3749435721,0.97375,1,0.2666666667,0.975,,,,,85,58,73
case_CL120_EHR_036__anon_a5139a77417c64ac,case_CL120_EHR_036,Kimi K2,closed_success,95,8,low_adherence_or_refusal,light,0.6275,0.219625,0.407875,0.35,0.3594679228,1,0.3803567969,1,1,0.2,0.925,,,0.8875,,86,57,39
case_CL120_EHR_036__anon_851de2af65642117,case_CL120_EHR_036,Qwen3-30B-A3B-Instruct-2507,closed_success,28,10,low_adherence_or_refusal,light,0.63,0.2205,0.4095,0.35,0.3017759931,0.78,0.3007125587,0.80275,1,0.425,0.775,,,0.575,,87,56,135
case_CL120_EHR_039__anon_725764ecbc65c758,case_CL120_EHR_039,MiniMax M3,closed_success,27,2,cost_transport_or_work_barrier,light,0.6049423077,0.2212490385,0.3836932692,0.55,0.2516855846,0.7067307692,0.3402467806,0.7990865385,1.5,,0.85,,0.35,0.925,0.42975,88,66,283
case_CL120_EHR_084__anon_19d664fafaa5439b,case_CL120_EHR_084,Qwen3-30B-A3B-Instruct-2507,closed_success,24,12,document_or_image_quality_problem,heavy,0.6335227273,0.2217329545,0.4117897727,0.35,0.2950460189,0.7795454545,0.2249597946,0.61375,1,0.575,,0.75625,0.6,,,89,54,150
case_CL120_EHR_111__anon_e145a64e49e16b95,case_CL120_EHR_111,DeepSeek-V3.2,closed_success,15,3,incomplete_patient_information,moderate,0.54825,0.22255625,0.32569375,0.35,0.2920707588,0.7865,0.2294171784,0.6234375,1,0.375,,0.55625,,,0.57375,90,111,161
case_CL120_EHR_090__anon_4faa2c6c82d64e4d,case_CL120_EHR_090,Kimi K2,closed_success,8,3,privacy_stigma_or_sensitive_history,light,0.2571428571,0.2236607143,0.03348214286,0.75,0.09029783486,0.2357142857,0.06532021974,0.1767857143,2,0.15,0.375,,0.325,0.1875,,91,963,951
