case_id,n_models,mean_fcc,median_fcc,cross_model_fcc_sd,cross_model_fcc_range,mean_crwr,median_crwr,cross_model_crwr_sd,cross_model_crwr_range,mean_fcc_minus_crwr,mean_fcc_judge_sd,mean_crwr_judge_sd,mean_turns,max_turns,mean_workspace_turns,closed_success_n,open_at_100_n,runtime_error_n,responsibility_chain_requirement_count,high_order_test_point_count,expected_evidence_channel_count,expected_turn_budget_category,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level,disease_domain,target_problem,starting_phase,secondary_frictions,tool_dependency,high_order_capability_domains
case_CL120_EHR_046,10,0.87,0.905,0.1044988038,0.34,0.70665,0.6615,0.2384950786,0.741,0.16335,0.2434684234,0.2943053476,73.2,100,6.9,4,6,0,7,4,7,medium,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,renal_urology,aki_warning,longitudinal_followup,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_047,10,0.5669818182,0.5362159091,0.1753105223,0.6392045455,0.4533244318,0.4216363636,0.1624605568,0.6044034091,0.1136573864,0.166549479,0.1862914161,14.5,21,3.4,10,0,0,8,4,7,medium,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,renal_urology,stone_colic,discharge_transition,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_048,10,0.6749431818,0.7122159091,0.1728316166,0.6284090909,0.5054971591,0.4617755682,0.2064510936,0.7480681818,0.1694460227,0.1623013209,0.2485057718,22.5,63,4.8,9,0,1,8,4,6,medium,maybe,True,3,5,5,2,high,1,moderate,1,moderate,1,moderate,2,high,7,high,renal_urology,renal_function_electrolyte_and_urine_color_medication_safety,home_execution_failure,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_049,10,0.8321519231,0.8434807692,0.06826842548,0.2248076923,0.69751875,0.7490432692,0.1155215083,0.3642980769,0.1346331731,0.1535583459,0.2144453558,7.1,14,3,10,0,0,7,4,5,medium,yes,True,3,5,5,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate,respiratory,pulmonary_sequestration_interventional_planning_and_cost_barrier,pre_handoff,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_050,10,0.5485227273,0.5511363636,0.1126978861,0.3909090909,0.3680170455,0.40078125,0.1801573487,0.546875,0.1805056818,0.1499020199,0.1710835795,42.1,100,10.6,7,2,1,8,4,7,long,maybe,True,2,5,5,2,high,2,high,2,high,2,high,1,moderate,9,high,gastro_hepatology,viral_hepatitis_cirrhosis,post_handoff,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_051,10,0.69904,0.7390625,0.1957598807,0.649275,0.543769125,0.557265,0.2468682613,0.7876825,0.155270875,0.1796475591,0.2738930035,36.1,81,9.2,9,0,1,7,4,6,long,maybe,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high,gastro_hepatology,abdominal_pain,post_handoff,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_052,10,0.8070545455,0.8454204545,0.1726069836,0.5926136364,0.6219423864,0.6377130682,0.2707627726,0.8071875,0.1851121591,0.1656759256,0.2277795331,26.4,100,9.3,8,1,1,7,4,6,extra_long,no,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high,gastro_hepatology,pancreatitis,result_return,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_053,10,0.7603788462,0.7848557692,0.1360983845,0.4216346154,0.6900206731,0.7058894231,0.1570144714,0.5171346154,0.07035817308,0.1616995413,0.2239490934,6,15,2.9,10,0,0,8,4,5,medium,yes,True,3,4,4,2,high,0,low,0,low,1,moderate,2,high,5,moderate,renal_urology,lupus_nephritis_steroid_and_followup_after_negative_covid_result,result_return,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_054,10,0.5044318182,0.4875,0.115915998,0.4357954545,0.3092414773,0.3031818182,0.1224060783,0.4154829545,0.1951903409,0.171616466,0.2438499185,6.8,10,3.9,10,0,0,7,4,7,medium,yes,False,2,5,5,1,moderate,2,high,0,low,1,moderate,0,low,4,moderate,gastro_hepatology,gi_bleeding,home_execution_failure,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_055,10,0.6816666667,0.6791666667,0.124432043,0.475,0.600125,0.6058333333,0.141759657,0.53125,0.08154166667,0.1930884921,0.274790004,15.8,43,5.1,10,0,0,8,4,7,medium,yes,False,2,5,5,2,high,2,high,0,low,1,moderate,0,low,5,moderate,gastro_hepatology,viral_hepatitis_cirrhosis,home_execution_failure,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_056,10,0.8489227273,0.9394545455,0.2128114762,0.7439318182,0.7651225,0.821875,0.2551180699,0.8819670455,0.08380022727,0.1282195398,0.2291796708,19.7,67,7.5,9,0,1,7,4,7,medium,maybe,True,2,6,6,1,moderate,2,high,0,low,1,moderate,2,high,6,moderate,gastro_hepatology,abdominal_pain,longitudinal_followup,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_057,10,0.6360392857,0.6458482143,0.1010934415,0.3261964286,0.481895,0.5248794643,0.1577413332,0.54776875,0.1541442857,0.1517763138,0.1557666563,7.5,16,2.2,10,0,0,7,4,5,medium,yes,True,2,4,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low,gastro_hepatology,pancreatitis,discharge_transition,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_058,10,0.7329166667,0.8333333333,0.2264800856,0.7416666667,0.4966875,0.5957291667,0.2595308342,0.7929166667,0.2362291667,0.1588264588,0.2396355256,7.4,12,3.6,10,0,0,7,4,7,medium,yes,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,gastro_hepatology,colonoscopy_or_pathology_followup,discharge_transition,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_059,10,0.77767,0.7825,0.1138232125,0.3879166667,0.618292,0.5620979167,0.2036162885,0.6844583333,0.159378,0.1325582815,0.2500354923,19.5,45,3.8,10,0,0,8,4,7,medium,yes,False,3,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,gastro_hepatology,gi_bleeding,pre_handoff,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_060,10,0.1425,0.16,0.06666145813,0.2225,0.07825,0.07925,0.04836879805,0.13925,0.06425,0.07392322265,0.03450587096,1,1,0.4,0,0,10,8,4,7,medium,yes,False,3,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high,gastro_hepatology,viral_hepatitis_cirrhosis,pre_handoff,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_061,10,0.7720833333,0.8145833333,0.1587062494,0.5416666667,0.568875,0.5911458333,0.2488110129,0.69125,0.2032083333,0.1835096623,0.2289641163,14.1,24,4.6,10,0,0,7,4,7,medium,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate,neurology,stroke_tia,post_handoff,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_062,10,0.76625,0.7583333333,0.06717126742,0.2166666667,0.6486458333,0.6395833333,0.0968806562,0.3,0.1176041667,0.1067486303,0.137081302,6,10,2.6,10,0,0,6,4,5,medium,maybe,True,3,4,5,0,low,0,low,1,moderate,1,moderate,2,high,4,moderate,neurology,limb_numbness_weakness_preoperative_medication_and_followup,pre_handoff,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_063,10,0.7063961538,0.7300673077,0.1239741372,0.4230769231,0.4992003846,0.4761778846,0.1712237996,0.5542307692,0.2071957692,0.1777632675,0.2537209948,9.7,20,1.8,10,0,0,9,4,5,medium,yes,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate,neurology,headache_red_flag,result_return,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_064,10,0.5232954545,0.5338068182,0.0837466078,0.3017045455,0.3488494318,0.3229119318,0.1115788572,0.4178125,0.1744460227,0.1930837787,0.2311681406,14.5,28,4.8,10,0,0,6,4,5,medium,yes,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low,neurology,dementia_delirium,result_return,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_065,10,0.6891666667,0.7541666667,0.1575881587,0.4916666667,0.4527083333,0.3708333333,0.2731188342,0.74625,0.2364583333,0.1627636507,0.221354703,7,13,3,10,0,0,7,4,7,medium,yes,False,2,5,5,1,moderate,2,high,1,moderate,1,moderate,0,low,5,moderate,neurology,neuropathy_or_fall,home_execution_failure,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_066,10,0.85575,0.855,0.09181537181,0.29,0.7150375,0.7196875,0.1971367233,0.7515,0.1407125,0.1446972737,0.2085016957,13.4,28,3,10,0,0,8,4,5,medium,yes,False,2,5,5,2,high,0,low,1,moderate,1,moderate,0,low,4,moderate,neurology,stroke_tia,home_execution_failure,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_067,10,0.8125,0.8583333333,0.1258443704,0.4,0.6540833333,0.66875,0.1752709014,0.5625,0.1584166667,0.2402655333,0.2948800416,30.2,100,3.3,9,1,0,8,4,7,long,maybe,True,2,5,5,2,high,2,high,2,high,2,high,1,moderate,9,high,neurology,seizure,longitudinal_followup,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_068,10,0.7713392857,0.794047619,0.1422681963,0.4550595238,0.7000625,0.7320684524,0.165761319,0.5228422619,0.07127678571,0.1938939786,0.2674061133,20.1,32,4.2,9,0,1,7,4,5,long,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate,neurology,headache_red_flag,discharge_transition,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_069,10,0.8332519231,0.8375961538,0.1228905285,0.4225961538,0.7138273077,0.7490384615,0.2402570805,0.6938701923,0.1194246154,0.2001361798,0.2752702911,68,100,9.5,6,4,0,7,4,5,extra_long,no,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate,neurology,dementia_delirium,discharge_transition,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_070,10,0.9080357143,0.9035714286,0.03758705881,0.1303571429,0.7825,0.7875,0.06889299832,0.2285714286,0.1255357143,0.09222199441,0.1682550338,8.7,21,2.1,10,0,0,6,4,5,short,yes,False,3,5,5,0,low,0,low,0,low,0,low,1,moderate,1,low,neurology,neuropathy_or_fall,pre_handoff,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_071,10,0.559185,0.563125,0.1330443597,0.436375,0.437794375,0.425859375,0.136228098,0.42603125,0.121390625,0.1410586086,0.1670346351,5.8,14,2,10,0,0,7,4,5,short,yes,False,3,5,5,1,moderate,0,low,0,low,0,low,1,moderate,2,low,obstetrics_gynecology,pregnancy_med_safety,pre_handoff,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_072,10,0.8725,0.8645833333,0.08459872602,0.2291666667,0.7391875,0.7786458333,0.1725455971,0.5802083333,0.1333125,0.1241231595,0.2130005105,20.9,47,4.2,9,0,1,6,4,5,medium,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low,obstetrics_gynecology,ectopic_or_bleeding,post_handoff,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_073,10,0.8974846154,0.9199519231,0.0870138136,0.2610576923,0.8429918269,0.9019230769,0.1366606034,0.3650240385,0.05449278846,0.137578863,0.1997704145,29.6,52,5.8,9,0,1,8,4,5,medium,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate,obstetrics_gynecology,postpartum_warning,post_handoff,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_074,10,0.6047727273,0.621875,0.1336740439,0.3823863636,0.5646420455,0.5604403409,0.1737414586,0.5349715909,0.04013068182,0.1957608179,0.2394344937,6.8,12,2.8,10,0,0,6,4,5,medium,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low,obstetrics_gynecology,gynecologic_mass_pathway,result_return,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_075,10,0.5533696429,0.5460267857,0.1733455313,0.5732142857,0.4525401786,0.4855580357,0.188064195,0.6242410714,0.1008294643,0.1315983822,0.1733969136,7.8,12,3.4,10,0,0,7,4,5,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,obstetrics_gynecology,pregnancy_med_safety,result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_076,10,0.86675,0.89,0.05207026503,0.1725,0.6701,0.6921875,0.1622350898,0.58425,0.19665,0.1309134503,0.1635829334,41.6,100,9.2,8,2,0,6,4,5,medium,yes,False,2,5,5,0,low,0,low,1,moderate,1,moderate,0,low,2,low,obstetrics_gynecology,ectopic_or_bleeding,home_execution_failure,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_077,10,0.7032214286,0.7040178571,0.1663754299,0.435625,0.5956459821,0.5658482143,0.1678440038,0.4617633929,0.1075754464,0.1703849708,0.1673719977,6.7,9,3,10,0,0,7,4,5,medium,yes,False,2,4,4,1,moderate,0,low,1,moderate,1,moderate,0,low,3,low,obstetrics_gynecology,postpartum_warning,home_execution_failure,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_078,10,0.9203869048,0.9242559524,0.05812679818,0.181547619,0.8163244048,0.8324776786,0.1385040564,0.3785714286,0.1040625,0.1753444005,0.2156216379,47.1,100,9.1,9,1,0,7,4,5,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,obstetrics_gynecology,gynecologic_mass_pathway,longitudinal_followup,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_079,10,0.8251461538,0.8634615385,0.1705055161,0.5874038462,0.6454110577,0.665625,0.1818357949,0.5944375,0.1797350962,0.2034509701,0.2337068887,22.7,40,4.2,10,0,0,7,4,5,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,pediatrics,fever_dehydration,discharge_transition,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_080,10,0.6210714286,0.625,0.1139302508,0.4625,0.45625,0.4178571429,0.143354636,0.546875,0.1648214286,0.2117200037,0.2522990948,9.4,18,4.2,10,0,0,8,4,5,medium,yes,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate,pediatrics,type1_diabetes_vomiting,discharge_transition,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_081,10,0.5933425,0.5788375,0.191819116,0.586625,0.519538125,0.448503125,0.2192498615,0.63903125,0.073804375,0.1553334552,0.1833423305,4.4,6,2.4,10,0,0,6,4,5,medium,yes,True,3,5,5,0,low,0,low,1,moderate,1,moderate,2,high,4,moderate,pediatrics,short_stature_growth_hormone_deficiency_and_scoliosis_followup,discharge_transition,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_082,10,0.7141666667,0.75625,0.1319880045,0.4291666667,0.6090625,0.621875,0.1188751625,0.3822916667,0.1051041667,0.1759616947,0.2164966736,6.7,12,3.1,10,0,0,7,4,5,medium,yes,False,3,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,pediatrics,caregiver_medication_error,pre_handoff,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_083,10,0.72025,0.7355769231,0.09856895996,0.3181730769,0.5945144231,0.5792668269,0.1361010718,0.4511298077,0.1257355769,0.1809201485,0.249574484,12.5,27,4.5,10,0,0,8,4,5,medium,maybe,True,2,4,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate,pediatrics,fever_dehydration,post_handoff,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_084,10,0.7084659091,0.7002840909,0.1578720456,0.5079545455,0.5763181818,0.6370028409,0.2292778534,0.7498579545,0.1321477273,0.2561404782,0.2497842204,35.9,68,8.1,9,0,1,7,4,5,long,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate,pediatrics,type1_diabetes_vomiting,post_handoff,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_085,10,0.6817125,0.7549107143,0.2472334955,0.787375,0.5608673214,0.6172433036,0.2602244853,0.8706205357,0.1208451786,0.2311204295,0.2332198857,18.8,100,7.4,9,1,0,5,4,5,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate,pediatrics,asthma_child,result_return,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_086,10,0.844,0.855,0.0771621669,0.28,0.717375,0.7525,0.1925914474,0.6915,0.126625,0.1609659271,0.2165955723,15.2,39,4.2,10,0,0,7,4,5,long,maybe,True,2,4,4,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate,pediatrics,caregiver_medication_error,result_return,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_087,10,0.7813214286,0.7802767857,0.08397286597,0.340625,0.6096549107,0.6271205357,0.1495114347,0.6135044643,0.1716665179,0.1513453039,0.1864545176,24.4,37,3.8,9,0,1,7,4,5,medium,yes,False,2,5,5,1,moderate,0,low,0,low,1,moderate,0,low,2,low,oncology_hematology,new_mass_staging,home_execution_failure,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_088,10,0.6202083333,0.627827381,0.1262387914,0.4330357143,0.4374598214,0.4890997024,0.2060431209,0.7016815476,0.1827485119,0.1926700707,0.1955935121,6.8,12,3.3,10,0,0,6,4,5,medium,yes,False,2,5,5,0,low,0,low,0,low,1,moderate,0,low,1,low,oncology_hematology,chemotherapy_complication,home_execution_failure,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_089,10,0.9053365385,0.9420673077,0.09562050401,0.2730769231,0.8638600962,0.8685096154,0.1127139876,0.3223365385,0.04147644231,0.1043211458,0.1517535425,54.2,100,6.4,6,3,1,8,4,5,medium,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate,oncology_hematology,anemia_bleeding,longitudinal_followup,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_090,10,0.5901785714,0.61875,0.1856236901,0.6017857143,0.5191160714,0.5493303571,0.206473968,0.6829464286,0.0710625,0.1839979964,0.2149018368,20.9,72,5.4,10,0,0,6,4,5,medium,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low,oncology_hematology,palliative_transition,discharge_transition,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_091,10,0.62663,0.61725,0.1586297189,0.506125,0.50191125,0.531328125,0.1977938645,0.74905,0.12471875,0.2045173072,0.2320711682,9.4,20,2.8,10,0,0,7,4,5,medium,yes,True,2,4,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low,oncology_hematology,family_disclosure,discharge_transition,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_092,10,0.56625,0.5958333333,0.1581737134,0.5333333333,0.4477708333,0.434375,0.1409153499,0.4791666667,0.1184791667,0.2083415486,0.2035649359,3.9,11,1.5,10,0,0,7,4,5,short,yes,False,3,5,5,1,moderate,0,low,0,low,0,low,1,moderate,2,low,oncology_hematology,new_mass_staging,pre_handoff,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_093,10,0.6228076923,0.6130288462,0.151321043,0.5134615385,0.4052355769,0.3561322115,0.1746133315,0.6736778846,0.2175721154,0.1872103005,0.2867489744,10.1,29,2.8,10,0,0,8,4,5,medium,yes,False,3,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate,oncology_hematology,chemotherapy_complication,pre_handoff,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_094,10,0.8176136364,0.8076704545,0.1054377681,0.3619318182,0.7117755682,0.7090198864,0.1732403094,0.5697443182,0.1058380682,0.2165372291,0.2367184987,52.1,100,8.5,8,2,0,6,4,5,medium,maybe,True,2,4,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low,oncology_hematology,anemia_bleeding,post_handoff,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_095,10,0.6726107143,0.6477678571,0.102835712,0.3321964286,0.5365763393,0.5185714286,0.2051923832,0.59134375,0.136034375,0.2257206479,0.2419848769,27.1,100,6.6,9,1,0,7,4,5,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,oncology_hematology,palliative_transition,post_handoff,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_096,10,0.913,0.96375,0.1133787899,0.32,0.840625,0.860625,0.1600422308,0.4675,0.072375,0.124066779,0.1708772426,47.4,100,8.6,9,1,0,7,4,5,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,oncology_hematology,family_disclosure,result_return,caregiver_conflict_or_fatigue | document_or_image_quality_problem,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_097,10,0.6701125,0.6584285714,0.1767155158,0.5454464286,0.6015174107,0.5807075893,0.1575341632,0.5547991071,0.06859508929,0.1358282995,0.1823943313,6.2,16,2.5,10,0,0,7,4,5,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate,infectious_disease,culture_result_action,result_return,document_or_image_quality_problem | delayed_or_staged_result_return,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_098,10,0.8996130952,0.9196428571,0.07663468559,0.2261904762,0.8252827381,0.8053571429,0.1138897812,0.3073660714,0.07433035714,0.1556597469,0.2036390977,25.7,40,3.7,10,0,0,6,4,5,medium,yes,False,2,5,5,0,low,0,low,1,moderate,1,moderate,0,low,2,low,infectious_disease,sepsis_warning,home_execution_failure,delayed_or_staged_result_return | low_adherence_or_refusal,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_099,10,0.9030230769,0.8923076923,0.06083521418,0.1774038462,0.7785629808,0.8634615385,0.1557126458,0.4520432692,0.1244600962,0.1509760714,0.2388861736,36,100,5.8,7,2,1,7,4,5,medium,yes,False,2,5,5,1,moderate,0,low,1,moderate,1,moderate,0,low,3,low,infectious_disease,tb_or_hbv_stigma,home_execution_failure,low_adherence_or_refusal | external_system_gap,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_100,10,0.8817857143,0.9223214286,0.07411381209,0.2,0.7432142857,0.7040178571,0.09448938871,0.3232142857,0.1385714286,0.1330971643,0.2213209959,28.1,59,7.2,10,0,0,8,4,5,medium,maybe,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate,infectious_disease,antibiotic_allergy_or_adherence,longitudinal_followup,external_system_gap | misstated_family_or_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_101,10,0.8271675,0.8721875,0.1315762849,0.405875,0.679183125,0.6441875,0.20963662,0.58730625,0.147984375,0.1519474452,0.2516767198,12.6,22,4.3,10,0,0,6,4,5,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate,infectious_disease,culture_result_action,discharge_transition,misstated_family_or_patient_information | cost_transport_or_work_barrier,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_102,10,0.8495833333,0.8645833333,0.1164946649,0.4291666667,0.7745833333,0.7739583333,0.1635961958,0.5864583333,0.075,0.1455956481,0.2234431488,48.5,97,7.4,10,0,0,9,4,5,long,maybe,True,2,5,5,2,high,0,low,2,high,2,high,1,moderate,7,high,infectious_disease,sepsis_warning,discharge_transition,cost_transport_or_work_barrier | privacy_stigma_or_sensitive_history,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_103,10,0.7159461538,0.7252403846,0.09036401312,0.2870769231,0.6226927885,0.6381610577,0.07159584878,0.2440336538,0.09325336538,0.1591044958,0.2172547425,11.2,34,2.8,10,0,0,6,4,5,long,maybe,True,3,5,5,0,low,0,low,2,high,2,high,2,high,6,moderate,infectious_disease,transplant_patient_hbv_tb_stigma_and_immunosuppression_safety,pre_handoff,privacy_stigma_or_sensitive_history | incomplete_patient_information,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_104,10,0.7354545455,0.7303977273,0.107334403,0.40625,0.6604261364,0.6741477273,0.1375301256,0.4660511364,0.07502840909,0.1890569954,0.211275175,6.5,13,2.7,10,0,0,9,4,5,short,yes,False,3,5,5,2,high,0,low,0,low,0,low,1,moderate,3,low,infectious_disease,antibiotic_allergy_or_adherence,pre_handoff,incomplete_patient_information | medication_confusion_or_execution_failure,high,HO1 | HO2 | HO3 | HO4
case_CL120_EHR_105,10,0.5630946429,0.5922321429,0.1662822656,0.6084821429,0.4414270536,0.519609375,0.1889790956,0.6769642857,0.1216675893,0.1865107225,0.2323364695,15.9,34,3.8,10,0,0,7,4,5,medium,maybe,True,2,5,6,1,moderate,0,low,0,low,1,moderate,2,high,4,moderate,musculoskeletal_geriatrics,fracture_fall_prevention,post_handoff,medication_confusion_or_execution_failure | caregiver_conflict_or_fatigue,high,HO1 | HO2 | HO3 | HO4
