omitted_primary_friction,doctor_model,n_trajectories,score_mean,rank,rank_spearman_vs_all_friction_primary
incomplete_patient_information,Qwen3-30B-A3B-Instruct-2507,108,0.6488808470850137,10.0,0.9878787878787879
incomplete_patient_information,Qwen3.8-Max,108,0.7819376375938872,4.0,0.9878787878787879
low_adherence_or_refusal,DeepSeek-V3.2,108,0.7240444521527855,7.0,1.0
low_adherence_or_refusal,DeepSeek-V4-Pro,108,0.7723291860146029,3.0,1.0
low_adherence_or_refusal,Doubao-Seed-2.0-lite,108,0.6332843880656381,9.0,1.0
low_adherence_or_refusal,GLM-5,108,0.7242680413722081,6.0,1.0
low_adherence_or_refusal,GPT-5.4,108,0.7734405301488633,2.0,1.0
low_adherence_or_refusal,GPT-5.6 Sol,108,0.8176862524050023,1.0,1.0
low_adherence_or_refusal,Kimi K2,108,0.6793891259974594,8.0,1.0
low_adherence_or_refusal,MiniMax M3,108,0.7379108778567114,5.0,1.0
low_adherence_or_refusal,Qwen3-30B-A3B-Instruct-2507,108,0.6315713958109792,10.0,1.0
low_adherence_or_refusal,Qwen3.8-Max,108,0.7643837424920755,4.0,1.0
medication_confusion_or_execution_failure,DeepSeek-V3.2,108,0.7367841622883291,7.0,1.0
medication_confusion_or_execution_failure,DeepSeek-V4-Pro,108,0.779778535276452,3.0,1.0
medication_confusion_or_execution_failure,Doubao-Seed-2.0-lite,108,0.6421078254307423,9.0,1.0
medication_confusion_or_execution_failure,GLM-5,108,0.7376699396282731,6.0,1.0
medication_confusion_or_execution_failure,GPT-5.4,108,0.7876376293459624,2.0,1.0
medication_confusion_or_execution_failure,GPT-5.6 Sol,108,0.8175237837008671,1.0,1.0
medication_confusion_or_execution_failure,Kimi K2,108,0.6933576574659909,8.0,1.0
medication_confusion_or_execution_failure,MiniMax M3,108,0.7486055813014146,5.0,1.0
medication_confusion_or_execution_failure,Qwen3-30B-A3B-Instruct-2507,108,0.6367788118517284,10.0,1.0
medication_confusion_or_execution_failure,Qwen3.8-Max,108,0.769493871560538,4.0,1.0
misstated_family_or_patient_information,DeepSeek-V3.2,108,0.7332877096668763,7.0,1.0
misstated_family_or_patient_information,DeepSeek-V4-Pro,108,0.7825710937981772,3.0,1.0
misstated_family_or_patient_information,Doubao-Seed-2.0-lite,108,0.6519222394118228,9.0,1.0
misstated_family_or_patient_information,GLM-5,108,0.7406229017895685,6.0,1.0
misstated_family_or_patient_information,GPT-5.4,108,0.792226975185308,2.0,1.0
misstated_family_or_patient_information,GPT-5.6 Sol,108,0.822219380542297,1.0,1.0
misstated_family_or_patient_information,Kimi K2,108,0.6940579139995806,8.0,1.0
misstated_family_or_patient_information,MiniMax M3,108,0.7561676904885238,5.0,1.0
misstated_family_or_patient_information,Qwen3-30B-A3B-Instruct-2507,108,0.6456996171267005,10.0,1.0
misstated_family_or_patient_information,Qwen3.8-Max,108,0.7698981725065054,4.0,1.0
privacy_stigma_or_sensitive_history,DeepSeek-V3.2,108,0.741983797529631,7.0,0.9878787878787879
privacy_stigma_or_sensitive_history,DeepSeek-V4-Pro,108,0.7967300945196778,2.0,0.9878787878787879
privacy_stigma_or_sensitive_history,Doubao-Seed-2.0-lite,108,0.6605679023908192,9.0,0.9878787878787879
privacy_stigma_or_sensitive_history,GLM-5,108,0.7552165365498698,6.0,0.9878787878787879
privacy_stigma_or_sensitive_history,GPT-5.4,108,0.7966529111320774,3.0,0.9878787878787879
privacy_stigma_or_sensitive_history,GPT-5.6 Sol,108,0.8396506074943575,1.0,0.9878787878787879
privacy_stigma_or_sensitive_history,Kimi K2,108,0.7139574851074852,8.0,0.9878787878787879
privacy_stigma_or_sensitive_history,MiniMax M3,108,0.7590187406729076,5.0,0.9878787878787879
privacy_stigma_or_sensitive_history,Qwen3-30B-A3B-Instruct-2507,108,0.65692852325144,10.0,0.9878787878787879
privacy_stigma_or_sensitive_history,Qwen3.8-Max,108,0.7849814857981521,4.0,0.9878787878787879
