metric,model,reported_mean,normalized_mean,difference,model_rank_spearman
FCC,DeepSeek-V3.2,0.6974933424908426,0.6974685012210012,-2.484126984136914e-05,0.9999999999999999
FCC,DeepSeek-V4-Pro,0.7523468719821845,0.7524858829711955,0.00013901098901092368,0.9999999999999999
FCC,Doubao-Seed-2.0-lite,0.6256546116036741,0.6259113348803974,0.0002567232767233252,0.9999999999999999
FCC,GLM-5,0.7161095049741923,0.7164599553571429,0.0003504503829505623,0.9999999999999999
FCC,GPT-5.4,0.7610778723013099,0.7613595711580087,0.0002816988566988199,0.9999999999999999
FCC,GPT-5.6 Sol,0.7960534847097347,0.7962117077367078,0.0001582230269731033,0.9999999999999999
FCC,Kimi K2,0.6683382222638472,0.6684876195332445,0.00014939726939733333,0.9999999999999999
FCC,MiniMax M3,0.7170722982572982,0.717253616938617,0.00018131868131876505,0.9999999999999999
FCC,Qwen3-30B-A3B-Instruct-2507,0.6113707291319791,0.6115824205655456,0.00021169143356647435,0.9999999999999999
FCC,Qwen3.8-Max,0.7329729431332557,0.7329993966797093,2.645354645358644e-05,0.9999999999999999
C_RWR,DeepSeek-V3.2,0.5611633526542902,0.5612025992965368,3.924664224663754e-05,0.9999999999999999
C_RWR,DeepSeek-V4-Pro,0.6062040200632701,0.6063082783050284,0.00010425824175830378,0.9999999999999999
C_RWR,Doubao-Seed-2.0-lite,0.4788586738643301,0.4790299855526418,0.00017131168831169274,0.9999999999999999
C_RWR,GLM-5,0.5854753022411617,0.5857899509258104,0.00031464868464869955,0.9999999999999999
C_RWR,GPT-5.4,0.6617734026997308,0.6620228712866995,0.0002494685869686153,0.9999999999999999
C_RWR,GPT-5.6 Sol,0.7332625927978272,0.7334061180226025,0.00014352522477523166,0.9999999999999999
C_RWR,Kimi K2,0.5078970275783244,0.5080263923801892,0.00012936480186476196,0.9999999999999999
C_RWR,MiniMax M3,0.5756391589920496,0.5757751480030386,0.00013598901098899052,0.9999999999999999
C_RWR,Qwen3-30B-A3B-Instruct-2507,0.4620772282405095,0.462249797077922,0.00017256883741251228,0.9999999999999999
C_RWR,Qwen3.8-Max,0.6009930977303946,0.6010161197084166,2.3021978022064182e-05,0.9999999999999999
