analysis_family,configuration,aggregation,doctor_model,n_trajectories,score_mean,rank,rank_spearman_vs_primary
not_triggered_and_aggregation,triggered_only,median,Qwen3-30B-A3B-Instruct-2507,120,0.7561700500194249,9.0,0.9515151515151515
not_triggered_and_aggregation,triggered_only,median,Qwen3.8-Max,120,0.8705505737086987,4.0,0.9515151515151515
not_triggered_and_aggregation,triggered_only,mean,DeepSeek-V3.2,120,0.8161249796731046,6.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,DeepSeek-V4-Pro,120,0.8460129805611056,3.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,Doubao-Seed-2.0-lite,120,0.7361666996313871,10.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,GLM-5,120,0.8140705993080993,7.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,GPT-5.4,120,0.8493105533471159,2.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,GPT-5.6 Sol,120,0.8870352914446664,1.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,Kimi K2,120,0.7730416275969402,8.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,MiniMax M3,120,0.8196898960838545,5.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,Qwen3-30B-A3B-Instruct-2507,120,0.7497290732030315,9.0,0.9757575757575757
not_triggered_and_aggregation,triggered_only,mean,Qwen3.8-Max,120,0.8414125163609538,4.0,0.9757575757575757
