judge_model,n,friction_capability_composite_mean,careloop_real_world_robustness_mean,ordinal_grade_mean,domain_information_repair_mean,domain_constraint_navigation_mean,domain_dynamic_reprioritization_mean,domain_execution_loop_repair_mean,domain_state_sensitive_communication_mean,domain_bounded_closure_continuity_mean
DeepSeek-V4-Pro,1200,0.6180627624320124,0.572226480738012,3.381666666666667,0.5726349206349206,0.6573595505617977,0.5345572916666667,0.6110714285714285,0.64875,0.7062221153846154
GLM-5,1200,0.7419667738650239,0.7230055936702187,4.299166666666666,0.6510634920634921,0.8025842696629213,0.6550520833333333,0.7692857142857144,0.8227631578947368,0.8728990384615385
GPT-5.5,1200,0.8098303446414696,0.6341155515172328,2.81,0.721936507936508,0.8934269662921348,0.7673958333333333,0.8275,0.9000657894736841,0.8209692307692308
gpt-5.6-sol,1200,0.6615360714008214,0.3799899168192918,1.64,0.5441428571428572,0.8165168539325842,0.5653124999999999,0.646547619047619,0.8009868421052632,0.6645711538461538
