case_id,mean_primary_score,median_primary_score,mean_turns_all_records,open_at_100_rate,runtime_error_rate,cross_model_primary_score_population_sd,responsibility_chain_requirement_count,high_order_test_point_count,expected_evidence_channel_count,friction_intensity,expected_turn_budget_category,expected_closure_within_100,handoff_is_transition_only,required_receipt_count,blocking_residual_risk_count,premature_closure_trap_count,responsibility_chain_burden_score,responsibility_chain_burden_level,evidence_integration_burden_score,evidence_integration_burden_level,friction_burden_score,friction_burden_level,temporal_burden_score,temporal_burden_level,closure_coordination_burden_score,closure_coordination_burden_level,contract_complexity_index,contract_complexity_level
case_CL120_EHR_032,2.3,2.5,52.5,0.2,0,1.1,6,4,5,moderate,medium,yes,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_033,3.25,3.25,19,0,0,1.4186260959111108,8,4,7,heavy,long,maybe,False,2,6,6,2,high,2,high,2,high,2,high,2,high,10,high
case_CL120_EHR_034,2.4,2.25,36.9,0,0,0.7681145747868608,6,4,5,heavy,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_035,2.6,2.75,65.4,0.4,0.1,1.1135528725660044,7,4,8,extreme,extra_long,no,True,2,5,5,1,moderate,2,high,2,high,2,high,1,moderate,8,high
case_CL120_EHR_036,2.0,1.5,52.4,0.1,0.1,1.0723805294763609,8,4,6,light,medium,yes,True,2,5,5,2,high,1,moderate,0,low,1,moderate,1,moderate,5,moderate
case_CL120_EHR_037,3.25,3.0,39,0,0.1,1.0547511554864493,8,4,6,light,medium,maybe,True,3,5,5,2,high,1,moderate,0,low,1,moderate,2,high,6,moderate
case_CL120_EHR_038,3.15,3.0,31.2,0,0,1.1412712210513327,8,4,7,light,short,yes,True,3,5,5,2,high,2,high,0,low,0,low,2,high,6,moderate
case_CL120_EHR_039,2.25,1.5,13.9,0,0,1.3275918047351754,5,4,5,light,medium,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_040,2.85,2.75,10.1,0,0,1.5976545308670456,7,4,5,light,medium,maybe,True,2,5,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_041,3.55,3.75,19.3,0,0.1,1.0828203913853858,8,4,7,moderate,medium,yes,True,3,5,5,2,high,2,high,1,moderate,1,moderate,2,high,8,high
case_CL120_EHR_042,2.8,2.0,8.1,0,0,1.469693845669907,8,4,6,moderate,medium,yes,True,2,5,5,2,high,1,moderate,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_043,3.4,3.25,23.2,0,0.1,1.2206555615733703,8,4,6,moderate,medium,yes,False,2,5,5,2,high,1,moderate,1,moderate,1,moderate,0,low,5,moderate
case_CL120_EHR_044,3.55,3.75,30.7,0,0,1.2539936203984452,7,4,7,moderate,medium,yes,False,2,5,5,1,moderate,2,high,1,moderate,1,moderate,0,low,5,moderate
case_CL120_EHR_045,2.1,2.0,17.6,0,0,0.8602325267042626,7,4,8,moderate,medium,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_046,3.35,3.25,73.2,0.6,0,1.2257650672131262,7,4,7,moderate,medium,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_047,2.3,2.0,14.5,0,0,0.5099019513592785,8,4,7,moderate,medium,yes,True,2,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_048,3.0,3.0,22.5,0,0.1,1.2041594578792296,8,4,6,moderate,medium,maybe,True,3,5,5,2,high,1,moderate,1,moderate,1,moderate,2,high,7,high
case_CL120_EHR_049,3.15,3.5,7.1,0,0,0.7433034373659253,7,4,5,moderate,medium,yes,True,3,5,5,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate
case_CL120_EHR_050,2.0,2.0,42.1,0.2,0.1,0.8944271909999159,8,4,7,heavy,long,maybe,True,2,5,5,2,high,2,high,2,high,2,high,1,moderate,9,high
case_CL120_EHR_051,2.85,3.0,36.1,0,0.1,1.205197079319395,7,4,6,heavy,long,maybe,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high
case_CL120_EHR_052,2.85,2.75,26.4,0.1,0.1,1.4326548781894402,7,4,6,extreme,extra_long,no,True,2,5,5,1,moderate,1,moderate,2,high,2,high,1,moderate,7,high
case_CL120_EHR_053,3.85,3.5,6,0,0,1.0259142264341596,8,4,5,light,medium,yes,True,3,4,4,2,high,0,low,0,low,1,moderate,2,high,5,moderate
case_CL120_EHR_054,2.2,2.5,6.8,0,0,0.7483314773547882,7,4,7,light,medium,yes,False,2,5,5,1,moderate,2,high,0,low,1,moderate,0,low,4,moderate
case_CL120_EHR_055,3.6,3.75,15.8,0,0,0.9695359714832659,8,4,7,light,medium,yes,False,2,5,5,2,high,2,high,0,low,1,moderate,0,low,5,moderate
case_CL120_EHR_056,3.6,4.0,19.7,0,0.1,1.2409673645990857,7,4,7,light,medium,maybe,True,2,6,6,1,moderate,2,high,0,low,1,moderate,2,high,6,moderate
case_CL120_EHR_057,2.35,2.25,7.5,0,0,0.8077747210701756,7,4,5,light,medium,yes,True,2,4,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_058,2.4,2.5,7.4,0,0,1.2609520212918492,7,4,7,moderate,medium,yes,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_059,3.15,3.25,19.5,0,0,1.1191514642799696,8,4,7,moderate,medium,yes,False,3,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_060,1.3,1.0,1,0,1,0.4,8,4,7,moderate,medium,yes,False,3,5,5,2,high,2,high,1,moderate,1,moderate,1,moderate,7,high
case_CL120_EHR_061,2.9,2.5,14.1,0,0,1.7146428199482247,7,4,7,moderate,medium,maybe,True,2,5,5,1,moderate,2,high,1,moderate,1,moderate,1,moderate,6,moderate
case_CL120_EHR_062,3.5,3.25,6,0,0,0.806225774829855,6,4,5,moderate,medium,maybe,True,3,4,5,0,low,0,low,1,moderate,1,moderate,2,high,4,moderate
case_CL120_EHR_063,2.5,2.0,9.7,0,0,0.9746794344808963,9,4,5,moderate,medium,yes,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_064,2.15,1.5,14.5,0,0,1.0012492197250393,6,4,5,moderate,medium,yes,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_065,2.45,1.75,7,0,0,1.6347782724271815,7,4,7,moderate,medium,yes,False,2,5,5,1,moderate,2,high,1,moderate,1,moderate,0,low,5,moderate
case_CL120_EHR_066,3.5,3.5,13.4,0,0,1.161895003862225,8,4,5,moderate,medium,yes,False,2,5,5,2,high,0,low,1,moderate,1,moderate,0,low,4,moderate
case_CL120_EHR_067,3.15,3.0,30.2,0.1,0,0.9759610647971567,8,4,7,heavy,long,maybe,True,2,5,5,2,high,2,high,2,high,2,high,1,moderate,9,high
case_CL120_EHR_068,4.05,4.0,20.1,0,0.1,0.9069178573608527,7,4,5,heavy,long,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_069,3.15,3.5,68,0.4,0,1.1191514642799696,7,4,5,extreme,extra_long,no,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_070,3.4,3.5,8.7,0,0,0.9695359714832659,6,4,5,light,short,yes,False,3,5,5,0,low,0,low,0,low,0,low,1,moderate,1,low
case_CL120_EHR_071,2.4,2.0,5.8,0,0,0.6244997998398398,7,4,5,light,short,yes,False,3,5,5,1,moderate,0,low,0,low,0,low,1,moderate,2,low
case_CL120_EHR_072,3.5,3.5,20.9,0,0.1,1.0954451150103321,6,4,5,light,medium,maybe,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_073,4.05,4.75,29.6,0,0.1,1.1280514172678477,8,4,5,light,medium,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate
case_CL120_EHR_074,3.65,3.75,6.8,0,0,1.0965856099730653,6,4,5,light,medium,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_075,2.85,3.0,7.8,0,0,0.95,7,4,5,moderate,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_076,3.25,3.5,41.6,0.2,0,1.2093386622447824,6,4,5,moderate,medium,yes,False,2,5,5,0,low,0,low,1,moderate,1,moderate,0,low,2,low
case_CL120_EHR_077,3.0,2.5,6.7,0,0,1.161895003862225,7,4,5,moderate,medium,yes,False,2,4,4,1,moderate,0,low,1,moderate,1,moderate,0,low,3,low
case_CL120_EHR_078,3.8,4.0,47.1,0.1,0,0.9797958971132712,7,4,5,moderate,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_079,2.55,2.0,22.7,0,0,0.788986691902975,7,4,5,moderate,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_080,2.35,2.0,9.4,0,0,0.7088723439378912,8,4,5,moderate,medium,yes,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_081,3.2,3.0,4.4,0,0,1.1874342087037917,6,4,5,moderate,medium,yes,True,3,5,5,0,low,0,low,1,moderate,1,moderate,2,high,4,moderate
case_CL120_EHR_082,2.95,3.25,6.7,0,0,0.85,7,4,5,moderate,medium,yes,False,3,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_083,3.0,2.75,12.5,0,0,1.0488088481701516,8,4,5,moderate,medium,maybe,True,2,4,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_084,2.95,2.75,35.9,0,0.1,1.105667219374799,7,4,5,heavy,long,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_085,2.8,3.0,18.8,0.1,0,1.1445523142259597,5,4,5,heavy,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_086,3.7,3.5,15.2,0,0,1.1445523142259597,7,4,5,heavy,long,maybe,True,2,4,4,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_087,2.95,3.0,24.4,0,0.1,0.9604686356149273,7,4,5,light,medium,yes,False,2,5,5,1,moderate,0,low,0,low,1,moderate,0,low,2,low
case_CL120_EHR_088,2.5,3.0,6.8,0,0,1.2649110640673518,6,4,5,light,medium,yes,False,2,5,5,0,low,0,low,0,low,1,moderate,0,low,1,low
case_CL120_EHR_089,4.0,4.25,54.2,0.3,0.1,1.0,8,4,5,light,medium,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate
case_CL120_EHR_090,3.05,3.25,20.9,0,0,1.0111874208078342,6,4,5,light,medium,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_091,2.4,2.0,9.4,0,0,1.019803902718557,7,4,5,light,medium,yes,True,2,4,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_092,2.6,2.25,3.9,0,0,0.6633249580710799,7,4,5,light,short,yes,False,3,5,5,1,moderate,0,low,0,low,0,low,1,moderate,2,low
case_CL120_EHR_093,2.25,2.25,10.1,0,0,0.873212459828649,8,4,5,moderate,medium,yes,False,3,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_094,3.3,3.0,52.1,0.2,0,1.0535653752852738,6,4,5,moderate,medium,maybe,True,2,4,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_095,2.8,2.5,27.1,0.1,0,1.2489995996796797,7,4,5,moderate,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_096,3.95,4.25,47.4,0.1,0,0.986154146165801,7,4,5,moderate,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_097,3.1,3.0,6.2,0,0,0.916515138991168,7,4,5,moderate,medium,yes,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_098,3.8,4.0,25.7,0,0,1.1224972160321824,6,4,5,moderate,medium,yes,False,2,5,5,0,low,0,low,1,moderate,1,moderate,0,low,2,low
case_CL120_EHR_099,3.55,3.75,36,0.2,0.1,1.15,7,4,5,moderate,medium,yes,False,2,5,5,1,moderate,0,low,1,moderate,1,moderate,0,low,3,low
case_CL120_EHR_100,2.85,3.0,28.1,0,0,0.8077747210701756,8,4,5,moderate,medium,maybe,True,2,5,5,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_101,3.5,3.0,12.6,0,0,1.0954451150103321,6,4,5,heavy,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_102,3.85,3.5,48.5,0,0,0.95,9,4,5,heavy,long,maybe,True,2,5,5,2,high,0,low,2,high,2,high,1,moderate,7,high
case_CL120_EHR_103,3.3,3.5,11.2,0,0,0.458257569495584,6,4,5,heavy,long,maybe,True,3,5,5,0,low,0,low,2,high,2,high,2,high,6,moderate
case_CL120_EHR_104,3.25,3.5,6.5,0,0,0.95524865872714,9,4,5,light,short,yes,False,3,5,5,2,high,0,low,0,low,0,low,1,moderate,3,low
case_CL120_EHR_105,2.9,3.25,15.9,0,0,1.1575836902790226,7,4,5,light,medium,maybe,True,2,5,6,1,moderate,0,low,0,low,1,moderate,2,high,4,moderate
case_CL120_EHR_106,3.6,4.0,22.9,0,0,1.1357816691600546,8,4,5,light,medium,maybe,True,2,5,5,2,high,0,low,0,low,1,moderate,1,moderate,4,moderate
case_CL120_EHR_107,3.2,3.5,11.3,0,0.1,1.0295630140987,7,4,5,light,medium,yes,True,2,5,5,1,moderate,0,low,0,low,1,moderate,1,moderate,3,low
case_CL120_EHR_108,2.85,3.0,9.2,0,0,0.9233092656309694,6,4,5,light,medium,yes,True,2,5,5,0,low,0,low,0,low,1,moderate,1,moderate,2,low
case_CL120_EHR_109,3.25,3.0,8,0,0.1,1.1672617529928753,7,4,5,light,medium,yes,False,2,5,5,1,moderate,0,low,0,low,1,moderate,0,low,2,low
case_CL120_EHR_110,2.15,2.0,13.2,0,0,0.7088723439378912,9,4,5,moderate,medium,yes,False,2,5,6,2,high,0,low,1,moderate,1,moderate,1,moderate,5,moderate
case_CL120_EHR_111,2.35,2.5,12.5,0,0,0.9759610647971567,7,4,5,moderate,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_112,3.6,3.5,9.6,0,0,0.6244997998398398,6,4,5,moderate,medium,yes,True,2,4,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_113,3.3,3.5,15.7,0,0,1.3820274961085253,7,4,5,moderate,medium,maybe,True,3,5,6,1,moderate,0,low,1,moderate,1,moderate,2,high,5,moderate
case_CL120_EHR_114,2.5,2.0,8.9,0,0,0.806225774829855,6,4,5,moderate,medium,yes,False,3,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_115,3.55,3.5,15.2,0,0,0.5220153254455275,6,4,5,moderate,medium,yes,False,3,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_116,2.5,3.0,17.3,0,0,1.140175425099138,7,4,5,moderate,medium,maybe,True,2,5,5,1,moderate,0,low,1,moderate,1,moderate,1,moderate,4,moderate
case_CL120_EHR_117,2.4,3.0,15.7,0,0,1.1789826122551597,6,4,5,moderate,medium,maybe,True,2,5,5,0,low,0,low,1,moderate,1,moderate,1,moderate,3,low
case_CL120_EHR_118,3.25,3.25,19.6,0,0,0.9013878188659973,7,4,5,heavy,long,maybe,True,2,5,5,1,moderate,0,low,2,high,2,high,1,moderate,6,moderate
case_CL120_EHR_119,3.4,3.25,24.5,0,0.5,0.9433981132056604,6,4,5,heavy,long,maybe,True,2,5,5,0,low,0,low,2,high,2,high,1,moderate,5,moderate
case_CL120_EHR_120,2.65,2.5,13.2,0,0.1,0.7762087348130012,7,4,5,heavy,long,maybe,False,2,5,5,1,moderate,0,low,2,high,2,high,0,low,5,moderate
