judge_model_id,judge_display_name,judge_provider,matched_doctor_model,n_self_trajectories,n_nonself_trajectories,judge_mean_grade_on_own_model,other_three_judges_mean_grade_on_same_own_model_trajectories,raw_self_minus_peer_judges_same_trajectories,judge_mean_peer_residual_on_other_models,calibration_adjusted_case_stratified_self_association_effect,bootstrap_95ci_low,bootstrap_95ci_high,case_stratified_randomization_two_sided_p,direction,packet_model_identity_blinded
DeepSeek-V4-Pro,DeepSeek-V4-Pro,DeepSeek,DeepSeek-V4-Pro,120,1080,3.5083333333333333,2.933333333333333,0.575,0.45308641975308644,0.12191358024691357,-0.1824074074074074,0.4253086419753086,0.4380478097609512,self-associated_higher,True
GLM-5,GLM-5,Z.ai,GLM-5,120,1080,4.416666666666667,2.647222222222222,1.7694444444444444,1.6796296296296296,0.0898148148148148,-0.10586419753086418,0.28271604938271605,0.4493877530612347,self-associated_higher,True
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,GPT-5.6 Sol,120,1080,3.066666666666667,4.052777777777778,-0.9861111111111112,-1.9537037037037037,0.9675925925925926,0.7070987654320988,1.230254629629628,4.9999750001249995e-06,self-associated_higher,True
