dimension_type,dimension_value,dimension_label,doctor_model,n_cases,n_trajectories,ordinal_comparator_score_mean,ordinal_comparator_score_ci95_low,ordinal_comparator_score_ci95_high,ordinal_comparator_score_median,strong_or_above_rate,closed_success_rate,open_at_100_rate,runtime_error_rate,mean_turns,rank_within_dimension
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,DeepSeek-V3.2,22,22,3.2045454545454546,2.772727272727273,3.6363636363636362,3.25,0.22727272727272727,0.9090909090909091,0.045454545454545456,0.045454545454545456,32.68181818181818,5.0
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,DeepSeek-V4-Pro,22,22,3.25,2.7045454545454546,3.7732954545454462,3.25,0.4090909090909091,0.7727272727272727,0.18181818181818182,0.045454545454545456,38.86363636363637,3.5
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,Doubao-Seed-2.0-lite,22,22,2.772727272727273,2.3636363636363638,3.1818181818181817,3.0,0.09090909090909091,0.9545454545454546,0.0,0.045454545454545456,24.136363636363637,8.0
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,GLM-5,22,22,2.8863636363636362,2.409090909090909,3.3636363636363638,3.0,0.22727272727272727,0.9090909090909091,0.045454545454545456,0.045454545454545456,23.5,6.0
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,GPT-5.4,22,22,3.25,2.840909090909091,3.6818181818181817,3.25,0.22727272727272727,0.9090909090909091,0.045454545454545456,0.045454545454545456,33.36363636363637,3.5
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,GPT-5.6 Sol,22,22,3.8863636363636362,3.3863636363636362,4.340909090909091,4.25,0.7272727272727273,0.7272727272727273,0.22727272727272727,0.045454545454545456,38.81818181818182,1.0
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,Kimi K2,22,22,2.8636363636363638,2.272727272727273,3.477272727272727,2.5,0.3181818181818182,0.9090909090909091,0.045454545454545456,0.045454545454545456,27.454545454545453,7.0
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,MiniMax M3,22,22,2.659090909090909,2.1136363636363638,3.2045454545454546,2.75,0.22727272727272727,0.5909090909090909,0.045454545454545456,0.36363636363636365,23.954545454545453,9.0
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,Qwen3-30B-A3B-Instruct-2507,22,22,2.340909090909091,1.8636363636363635,2.8636363636363638,2.0,0.09090909090909091,0.8636363636363636,0.045454545454545456,0.09090909090909091,29.681818181818183,10.0
exploratory_aggregate_burden,high,exploratory_aggregate_burden: high,Qwen3.8-Max,22,22,3.3636363636363638,2.8636363636363638,3.840909090909091,3.0,0.3181818181818182,0.8181818181818182,0.13636363636363635,0.045454545454545456,33.77272727272727,2.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,DeepSeek-V3.2,28,28,3.125,2.6785714285714284,3.5714285714285716,3.25,0.2857142857142857,0.9642857142857143,0.03571428571428571,0.0,18.035714285714285,3.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,DeepSeek-V4-Pro,28,28,3.0,2.5714285714285716,3.4285714285714284,3.0,0.21428571428571427,1.0,0.0,0.0,14.035714285714286,5.5
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,Doubao-Seed-2.0-lite,28,28,2.3214285714285716,1.9642857142857142,2.7142857142857144,2.0,0.07142857142857142,1.0,0.0,0.0,15.5,9.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,GLM-5,28,28,2.982142857142857,2.6785714285714284,3.2857142857142856,3.5,0.03571428571428571,1.0,0.0,0.0,12.535714285714286,7.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,GPT-5.4,28,28,3.375,3.0357142857142856,3.6964285714285716,3.5,0.2857142857142857,0.9285714285714286,0.07142857142857142,0.0,19,2.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,GPT-5.6 Sol,28,28,3.9642857142857144,3.5535714285714284,4.357142857142857,4.25,0.6071428571428571,0.9642857142857143,0.03571428571428571,0.0,16.357142857142858,1.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,Kimi K2,28,28,2.267857142857143,1.875,2.6785714285714284,2.0,0.03571428571428571,0.9642857142857143,0.03571428571428571,0.0,15.392857142857142,10.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,MiniMax M3,28,28,3.0,2.625,3.357142857142857,3.0,0.25,0.7857142857142857,0.03571428571428571,0.17857142857142858,18.535714285714285,5.5
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,Qwen3-30B-A3B-Instruct-2507,28,28,2.4642857142857144,2.0892857142857144,2.857142857142857,2.0,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.0,19.428571428571427,8.0
exploratory_aggregate_burden,low,exploratory_aggregate_burden: low,Qwen3.8-Max,28,28,3.0357142857142856,2.642857142857143,3.4464285714285716,3.0,0.25,1.0,0.0,0.0,16.571428571428573,4.0
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,DeepSeek-V3.2,70,70,2.692857142857143,2.442857142857143,2.9357142857142855,2.75,0.12857142857142856,0.9285714285714286,0.07142857142857142,0.0,23.6,7.5
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,DeepSeek-V4-Pro,70,70,3.0428571428571427,2.7785714285714285,3.3214285714285716,3.0,0.24285714285714285,0.9571428571428572,0.02857142857142857,0.014285714285714285,24,4.0
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,Doubao-Seed-2.0-lite,70,70,2.35,2.1142857142857143,2.6,2.0,0.08571428571428572,0.9714285714285714,0.02857142857142857,0.0,15.885714285714286,10.0
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,GLM-5,70,70,3.2214285714285715,2.9285714285714284,3.5142857142857142,3.25,0.35714285714285715,0.9857142857142858,0.0,0.014285714285714285,16.942857142857143,3.0
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,GPT-5.4,70,70,3.757142857142857,3.5,4.021428571428571,3.5,0.4857142857142857,0.9428571428571428,0.05714285714285714,0.0,21.52857142857143,2.0
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,GPT-5.6 Sol,70,70,3.907142857142857,3.65,4.1571428571428575,4.0,0.5857142857142857,0.9285714285714286,0.05714285714285714,0.014285714285714285,19.457142857142856,1.0
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,Kimi K2,70,70,2.692857142857143,2.414285714285714,2.9714285714285715,3.0,0.14285714285714285,0.9857142857142858,0.014285714285714285,0.0,18.885714285714286,7.5
exploratory_aggregate_burden,moderate,exploratory_aggregate_burden: moderate,MiniMax M3,70,70,3.0,2.742857142857143,3.2642857142857142,3.0,0.18571428571428572,0.7857142857142857,0.08571428571428572,0.12857142857142856,23.757142857142856,5.0
